ts_code,time,open,close,high,low,vol,amount
601700.SH,2026-07-27 09:30:00,4.88,4.88,4.88,4.88,614300.0,2997784.0
601700.SH,2026-07-27 09:31:00,4.88,4.85,4.93,4.83,1565200.0,7625710.0
601700.SH,2026-07-27 09:32:00,4.86,4.91,4.94,4.86,947600.0,4643890.0
601700.SH,2026-07-27 09:33:00,4.9,4.9,4.92,4.88,866300.0,4243826.0
601700.SH,2026-07-27 09:34:00,4.89,4.92,4.92,4.89,911200.0,4472802.0
601700.SH,2026-07-27 09:35:00,4.92,4.95,4.96,4.92,823400.0,4068722.0
601700.SH,2026-07-27 09:36:00,4.97,4.96,4.97,4.94,859900.0,4260181.0
601700.SH,2026-07-27 09:37:00,4.96,4.96,4.96,4.94,735400.0,3642164.0
601700.SH,2026-07-27 09:38:00,4.95,4.94,4.95,4.92,766800.0,3785262.0
601700.SH,2026-07-27 09:39:00,4.92,4.92,4.94,4.9,593800.0,2920525.0
601700.SH,2026-07-27 09:40:00,4.9,4.86,4.91,4.84,652300.0,3170738.0
601700.SH,2026-07-27 09:41:00,4.83,4.83,4.84,4.82,422700.0,2041940.0
601700.SH,2026-07-27 09:42:00,4.83,4.86,4.86,4.82,321200.0,1552868.0
601700.SH,2026-07-27 09:43:00,4.86,4.87,4.87,4.85,720700.0,3506858.0
601700.SH,2026-07-27 09:44:00,4.87,4.9,4.9,4.87,255800.0,1249686.0
601700.SH,2026-07-27 09:45:00,4.9,4.9,4.9,4.89,381700.0,1867987.0
601700.SH,2026-07-27 09:46:00,4.9,4.87,4.9,4.87,259700.0,1267880.0
601700.SH,2026-07-27 09:47:00,4.87,4.9,4.9,4.87,174100.0,850960.0
601700.SH,2026-07-27 09:48:00,4.89,4.89,4.9,4.88,145400.0,710674.0
601700.SH,2026-07-27 09:49:00,4.89,4.9,4.91,4.88,413900.0,2023153.0
601700.SH,2026-07-27 09:50:00,4.89,4.88,4.89,4.88,138800.0,678006.0
601700.SH,2026-07-27 09:51:00,4.89,4.9,4.9,4.88,210700.0,1031352.0
601700.SH,2026-07-27 09:52:00,4.9,4.9,4.9,4.88,235800.0,1153167.0
601700.SH,2026-07-27 09:53:00,4.89,4.88,4.9,4.87,228400.0,1115440.0
601700.SH,2026-07-27 09:54:00,4.88,4.88,4.89,4.87,112500.0,549006.0
601700.SH,2026-07-27 09:55:00,4.88,4.89,4.89,4.88,152900.0,747060.0
601700.SH,2026-07-27 09:56:00,4.89,4.87,4.89,4.87,316500.0,1544679.0
601700.SH,2026-07-27 09:57:00,4.87,4.87,4.88,4.87,202900.0,988190.0
601700.SH,2026-07-27 09:58:00,4.87,4.88,4.88,4.87,95500.0,465415.0
601700.SH,2026-07-27 09:59:00,4.88,4.88,4.89,4.88,158700.0,774537.0
601700.SH,2026-07-27 10:00:00,4.89,4.88,4.89,4.87,148700.0,725757.0
601700.SH,2026-07-27 10:01:00,4.88,4.89,4.89,4.87,190500.0,929389.0
601700.SH,2026-07-27 10:02:00,4.88,4.88,4.89,4.87,283100.0,1381781.0
601700.SH,2026-07-27 10:03:00,4.88,4.87,4.88,4.87,883500.0,4307064.0
601700.SH,2026-07-27 10:04:00,4.87,4.89,4.9,4.87,228900.0,1119268.0
601700.SH,2026-07-27 10:05:00,4.9,4.89,4.9,4.88,97200.0,475205.0
601700.SH,2026-07-27 10:06:00,4.89,4.89,4.89,4.88,118600.0,579729.0
601700.SH,2026-07-27 10:07:00,4.89,4.9,4.9,4.88,138200.0,675610.0
601700.SH,2026-07-27 10:08:00,4.89,4.9,4.9,4.89,102000.0,499081.0
601700.SH,2026-07-27 10:09:00,4.89,4.9,4.9,4.89,210200.0,1028656.0
601700.SH,2026-07-27 10:10:00,4.89,4.89,4.9,4.89,231800.0,1134349.0
601700.SH,2026-07-27 10:11:00,4.89,4.89,4.89,4.88,94200.0,460021.0
601700.SH,2026-07-27 10:12:00,4.89,4.87,4.89,4.87,243600.0,1188923.0
601700.SH,2026-07-27 10:13:00,4.88,4.87,4.88,4.87,130200.0,634929.0
601700.SH,2026-07-27 10:14:00,4.88,4.88,4.88,4.87,149400.0,729014.0
601700.SH,2026-07-27 10:15:00,4.88,4.88,4.89,4.87,52100.0,254440.0
601700.SH,2026-07-27 10:16:00,4.88,4.89,4.89,4.88,75400.0,368268.0
601700.SH,2026-07-27 10:17:00,4.89,4.89,4.89,4.88,64300.0,314253.0
601700.SH,2026-07-27 10:18:00,4.88,4.88,4.89,4.88,54100.0,264292.0
601700.SH,2026-07-27 10:19:00,4.88,4.88,4.89,4.88,151500.0,739716.0
601700.SH,2026-07-27 10:20:00,4.89,4.89,4.9,4.89,172600.0,844125.0
601700.SH,2026-07-27 10:21:00,4.89,4.89,4.9,4.89,77800.0,380477.0
601700.SH,2026-07-27 10:22:00,4.9,4.9,4.9,4.89,268600.0,1316138.0
