d_trade_date,trade_date,t_trade_date,t1_trade_date,ts_code,name,label_matured,t_verify_ready,date_order_valid,t_up_hit,t_open_up_hit,t_limitup_hit,t_touch_limitup,t_close_ret,t_intraday_ret,t_open_ret,t_high_profit_hit,t1_open_ret,t1_close_ret,t1_high_ret,t1_low_ret,t1_up_hit,t1_high_profit_hit,t1_accept_hit,t1_fail_hit,t1_big_drawdown_hit,t1_limitdown_risk_hit,rank,close_T,p_premium,e_premium,score_ev,confidence,data_quality,dec_rank,dec_weight,dec_p_fill,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,eret_pred_raw,eret_plus_value,eret_plus_delta,t1_up_rate,market_score,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,turnover_rate,turnover_rate_f,volume_ratio,circ_mv,float_mv,total_mv,pe_ttm,pb,returns_1d,volatility_5d,volatility_10d,volatility_20d,max_drawdown_20d,tail_risk_score,hot_boards_score,board_crowding_rank,is_hot_board,board_rank,board_limit_up_count,is_st_like,open_times,fd_amount,seal_amount,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,reseal_score,intraday_quality_score,intraday_confidence_score,intraday_risk_score,intraday_soft_risk_score,intraday_hard_risk_flag,auction_strength_score,auction_amount,is_limit_up,break_count_proxy,limit_up_strength,factor_intraday_available,factor_auction_available,factor_intraday_quality,factor_intraday_confidence,factor_intraday_soft_risk,factor_intraday_risk,factor_intraday_hard_risk,factor_late_withdraw,factor_reseal,factor_open_board_count,factor_auction_strength,factor_intraday_attack_edge,factor_intraday_execution_edge,factor_intraday_risk_penalty,r_p50,is_top10,is_top20
20260605,20260605,20260608,20260609,603500.SH,祥和实业,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0997547015535567,0.0997547015535567,0.0629599345870808,1.0,0.0007692307692308,0.0284615384615383,0.0538461538461538,-0.0684615384615384,1.0,1.0,1.0,0.0,1.0,0.0,1,12.23,,,,,,,,,0.98038,64.4114,0.855491,83.2553,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,600382.SH,广东明珠,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.1002066115702478,-0.0020661157024792,-0.0072314049586776,0.0,-0.0946930280957336,-0.1269510926118625,-0.0884495317377731,-0.1363163371488032,0.0,0.0,0.0,1.0,1.0,1.0,2,9.68,,,,,,,,,0.949332,63.48,0.855491,81.7805,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,003036.SZ,泰坦股份,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.095324833029751,-0.0002428658166362,-0.0149362477231328,0.0,-0.0310650887573965,0.0102317554240631,0.0102317554240631,-0.051775147928994,1.0,0.0,0.0,0.0,1.0,0.0,3,82.35,,,,,,,,,0.945748,63.3724,0.789898,79.9705,0.0,0.0998100697566066,0.0998100697566066,0.9714634142152606,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0951375010385745,1.0,1.0
20260605,20260605,20260608,20260609,600996.SH,贵广网络,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0469083155650321,0.0277185501066097,-0.0117270788912581,1.0,-0.0269687162891046,-0.0474649406688241,-0.0097087378640776,-0.05933117583603,0.0,0.0,0.0,1.0,1.0,0.0,4,9.38,,,,,,,,,0.900261,62.0078,0.855491,79.4497,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,603725.SH,天安新材,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0116822429906542,0.0062305295950155,-0.0498442367601246,0.0,0.0418032786885247,-0.0327868852459015,0.0540983606557377,-0.0639344262295081,0.0,1.0,0.0,1.0,1.0,0.0,5,12.84,,,,,,,,,0.820249,59.6075,0.855491,75.6491,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,000520.SZ,凤凰航运,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0347826086956521,0.0869565217391306,0.0434782608695651,1.0,-0.0479166666666666,-0.0854166666666667,-0.0124999999999999,-0.1020833333333334,0.0,0.0,0.0,1.0,1.0,1.0,6,4.6,,,,,,,,,0.810911,59.3273,0.855491,75.2056,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,002613.SZ,北玻股份,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1008064516129032,0.1008064516129032,0.0524193548387097,1.0,0.0766283524904214,-0.0057471264367814,0.0823754789272031,-0.0172413793103447,0.0,1.0,1.0,0.0,0.0,0.0,7,4.96,,,,,,,,,0.671896,55.1569,0.855491,68.6023,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,600063.SH,皖维高新,1.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.0632603406326034,-0.0085158150851581,-0.0510948905109489,0.0,0.0166666666666666,0.0205128205128204,0.0282051282051281,-0.0499999999999999,1.0,1.0,1.0,0.0,1.0,0.0,8,8.22,,,,,,,,,0.649344,54.4803,0.855491,67.5311,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,600293.SH,三峡新材,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0429292929292928,0.101010101010101,-0.0202020202020202,1.0,0.0438144329896907,0.038659793814433,0.0773195876288659,-0.0180412371134019,1.0,1.0,1.0,0.0,0.0,0.0,9,3.96,,,,,,,,,0.589561,52.6868,0.855491,64.6914,0.0,0.12,0.12,0.98829186007614,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1133286853070031,1.0,1.0
20260605,20260605,20260608,20260609,000068.SZ,华控赛格,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.101123595505618,0.101123595505618,-0.0168539325842697,1.0,0.1400000000000001,0.0828571428571429,0.2057142857142857,0.0485714285714284,1.0,1.0,1.0,0.0,0.0,0.0,10,3.56,,,,,,,,,0.585814,52.5744,0.814154,63.48,0.0,0.1131095873687276,0.1131095873687276,0.9839494951988774,,5511.0,0.5862819814915623,0.0039046710919029,0.004845814977973761,115.0,0.020867356196697513,256.0,0.04645254944656142,3096693767.158,0.4586211231986609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107157528694151,1.0,1.0
