d_trade_date,t_trade_date,t1_trade_date,rank,ts_code,name,buy_time,buy_price,auction_volume,sell_rule,sell_time,sell_price,gross_return,cost_bps,net_return,pnl_per_10000,is_win,status,fill_assumption,buy_source,sell_source
20260803,20260804,20260805,1,002131.SZ,利欧股份,09:25:00,5.28,43419210.0,T+1 11:00 minute open,2026-08-05 11:00:00,5.61,0.0625,35.0,0.059,590.0,1.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260804/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260805/002131_SZ.csv
20260804,20260805,20260806,1,002421.SZ,达实智能,09:25:00,3.56,13714700.0,T+1 11:00 minute open,2026-08-06 11:00:00,3.45,-0.030898876404494402,35.0,-0.034398876404494405,-343.98876404494405,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260805/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260806/002421_SZ.csv
20260805,20260806,20260807,1,601700.SH,风范股份,09:25:00,7.1,13992600.0,T+1 11:00 minute open,2026-08-07 11:00:00,6.44,-0.09295774647887312,35.0,-0.09645774647887312,-964.5774647887312,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260806/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260807/601700_SH.csv
20260806,20260807,20260810,1,002425.SZ,凯撒文化,09:25:00,3.82,8158600.0,T+1 11:00 minute open,2026-08-10 11:00:00,3.18,-0.16753926701570676,35.0,-0.17103926701570676,-1710.3926701570676,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260807/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260810/002425_SZ.csv
20260807,20260810,20260811,1,600721.SH,百花医药,09:25:00,11.59,1763355.0,T+1 11:00 minute open,2026-08-11 11:00:00,12.75,0.10008628127696295,35.0,0.09658628127696295,965.8628127696295,1.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260810/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260811/600721_SH.csv
20260810,20260811,20260812,1,002298.SZ,中电鑫龙,09:25:00,9.5,3748900.0,T+1 11:00 minute open,2026-08-12 11:00:00,9.37,-0.013684210526315854,35.0,-0.017184210526315854,-171.84210526315854,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260811/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260812/002298_SZ.csv
20260811,20260812,20260813,1,000802.SZ,北京文化,09:25:00,5.69,17828282.0,T+1 11:00 minute open,2026-08-13 11:00:00,6.26,0.10017574692442865,35.0,0.09667574692442865,966.7574692442865,1.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260812/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260813/000802_SZ.csv
20260812,20260813,20260814,1,000802.SZ,北京文化,09:25:00,6.26,34257000.0,T+1 11:00 minute open,2026-08-14 11:00:00,6.22,-0.006389776357827448,35.0,-0.009889776357827448,-98.89776357827448,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260813/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260814/000802_SZ.csv
20260813,20260814,20260817,1,603887.SH,城地香江,09:25:00,12.86,9175613.0,T+1 11:00 minute open,2026-08-17 11:00:00,10.9,-0.15241057542768266,35.0,-0.15591057542768266,-1559.1057542768267,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260814/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260817/603887_SH.csv
20260814,20260817,20260818,1,002724.SZ,海洋王,09:25:00,6.98,5138800.0,T+1 11:00 minute open,2026-08-18 11:00:00,6.67,-0.044412607449856756,35.0,-0.04791260744985676,-479.12607449856756,0.0,READY,small shadow order; positive matched auction volume,/home/runner/work/top10-decision/top10-decision/data/market/raw/2026/20260817/stk_auction.csv,/home/runner/work/top10-decision/top10-decision/data/market/minute_1m/2026/20260818/002724_SZ.csv
