rank,trade_date,base_date,buy_date,target_date,ts_code,name,晋阶,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,t1_up_rate,T+1上涨率,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up,open_T_actual,high_T_actual,close_T_actual,t_limit_price_est,t_up_actual,t_limitup_actual,t_touch_limitup_actual,t_limitup_verify_ready,t_open_ret,t_intraday_ret,t_close_ret,t_high_profit_hit,open_T2_actual,high_T2_actual,low_T2_actual,close_T2_actual,t1_open_ret,t1_low_ret,t1_close_ret,t1_high_ret,t1_up_hit,t1_high_profit_hit,t1_accept_hit,t1_fail_hit,t1_big_drawdown_hit,t1_limitdown_risk_hit,t_limitup_verify_reason,t_limitup_verify_trade_date,d_analysis_trade_date
1,20260703,20260703,20260706,20260707,002765.SZ,蓝黛科技,1→2,汽车零部件,7.91,TOP10,1,1,TOP10,只观察不追,≤7.99,只观察不追,≤7.99,冲高至8.68附近优先兑现；强势放量再看9.13；弱于7.79止损,冲高至8.68附近优先兑现；强势放量再看9.13；弱于7.79止损,只观察不追,≤7.99,只观察不追,≤7.99,冲高至8.68附近优先兑现；强势放量再看9.13；弱于7.79止损,冲高至8.68附近优先兑现；强势放量再看9.13；弱于7.79止损,0.465357,0.465357,66.8459,66.8459,0.73363,0.73363,69.6103,69.6103,0.832515,67.1182,0.825119,78.9554,0.8916414274037932,0.9653129978184203,0.5660710449524601,0.6666433753104593,0.709068981791399,0.6889274829500666,0.7144749630223867,0.14653543215553186,0.4348526055144864,0.04390093973657199,0.08021383915530066,0.029963339167223556,0.0330899025007726,0.7076656827420816,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.646004,0.465357,historical_bin_blend_v1,52.1899,75.8405,80.1075,87.3286,64.4012,64.4012,1,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.777873,0.677808,0.666643,0.759034,0.19777,0.169041,91.5741,57.1394,60.65,74.65,0.292,0.0,88.0549,88.0549,0.139348,84.8041,60.4383,63.9085,72.6786,60.6526,0.606526,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.8955331881565458,0.8955331881565458,,0.09314475204587756,0.0,0.09762060659773199,0.09762060659773199,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
2,20260703,20260703,20260706,20260707,603278.SH,大业股份,1→2,通用设备,12.11,TOP10,1,1,TOP10,限价竞价,≤12.52,限价竞价,≤12.52,冲高至13.37附近优先兑现；强势放量再看14.05；弱于11.93止损,冲高至13.37附近优先兑现；强势放量再看14.05；弱于11.93止损,限价竞价,≤12.52,限价竞价,≤12.52,冲高至13.37附近优先兑现；强势放量再看14.05；弱于11.93止损,冲高至13.37附近优先兑现；强势放量再看14.05；弱于11.93止损,0.481098,0.481098,62.3144,62.3144,0.605344,0.605344,65.8078,65.8078,0.948836,66.2623,0.837562,83.7098,0.9285438794409947,0.9681455382548456,0.5508131516530004,0.5968244335029786,0.5837140011195242,0.7033007420000194,0.4671537560351864,0.3132159310689924,0.5471911897375046,0.04863688919664393,0.08181926387974882,0.022251283803004583,0.03169405192142842,0.6353889902011691,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.67022,0.481098,historical_bin_blend_v1,51.6133,64.2452,76.2775,87.3908,62.3769,62.3769,4,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.69584,0.659133,0.596824,0.637957,0.309264,0.224369,95.787,57.1394,47.18,48.98,0.0,0.0,83.4855,83.4855,0.119029,76.5363,55.8182,59.2835,62.879,58.2528,0.582528,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.9135972127180503,0.9135972127180503,,0.09929573389642733,0.0,0.10439285767233618,0.10439285767233618,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
3,20260703,20260703,20260706,20260707,000656.SZ,金科股份,2→3,房地产开发,1.3,TOP10,1,1,TOP10,只观察不追,≤1.31,只观察不追,≤1.31,冲高至1.46附近优先兑现；强势放量再看1.54；弱于1.28止损,冲高至1.46附近优先兑现；强势放量再看1.54；弱于1.28止损,只观察不追,≤1.31,只观察不追,≤1.31,冲高至1.46附近优先兑现；强势放量再看1.54；弱于1.28止损,冲高至1.46附近优先兑现；强势放量再看1.54；弱于1.28止损,0.430176,0.430176,43.2638,43.2638,0.678723,0.678723,55.0025,55.0025,0.559859,40.4827,0.8135,59.2682,0.7097339581591281,0.9596538931418231,0.5687499105614514,0.4511780304206244,0.6643288639114255,0.39099145700576704,0.602567342312965,0.4627041818698597,0.554048982629639,0.03848618767785204,0.07564462212857659,0.013159195297606778,0.046184113814738595,0.5705738946280042,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.566083,0.430176,historical_bin_blend_v1,43.4203,67.629,55.2175,65.6189,50.3313,50.3313,29,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.687406,0.585991,0.451178,0.673342,0.318336,0.229699,99.3981,57.1394,60.65,74.65,0.292,0.0,75.9321,75.9321,0.166394,54.6251,86.5259,56.0615,67.4533,54.1175,0.541175,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.9117230661639462,0.9117230661639462,,0.11332868530700317,0.0,0.12,0.12,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
4,20260703,20260703,20260706,20260707,002283.SZ,天润工业,1→2,汽车零部件,10.24,TOP10,1,1,TOP10,只观察不追,≤10.34,只观察不追,≤10.34,冲高至11.17附近优先兑现；强势放量再看11.69；弱于10.09止损,冲高至11.17附近优先兑现；强势放量再看11.69；弱于10.09止损,只观察不追,≤10.34,只观察不追,≤10.34,冲高至11.17附近优先兑现；强势放量再看11.69；弱于10.09止损,冲高至11.17附近优先兑现；强势放量再看11.69；弱于10.09止损,0.44587,0.44587,63.8497,63.8497,0.651454,0.651454,65.2873,65.2873,0.769335,63.1393,0.828881,75.4346,0.915842094472462,0.969199444573691,0.5503189688968066,0.6432322178558078,0.6241501703592238,0.6419806175796626,0.5695817028318233,0.2157274087984673,0.49265824584146306,0.040220280886456114,0.08233509760504953,0.02466866476267587,0.02376701317474211,0.6580007971412064,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.616024,0.44587,historical_bin_blend_v1,50.0658,67.4105,76.458,86.2876,61.6094,61.6094,7,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.725483,0.663453,0.643232,0.666107,0.27754,0.201319,85.5556,57.1394,60.65,74.65,0.292,0.0,87.5691,87.5691,0.160807,80.2506,45.682,61.3279,65.364,53.92,0.5392,1,0,ELIGIBLE,ok,professional_score_rule_guarded,4,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.9053401399153563,0.9053401399153563,,0.08736013787073886,0.0,0.09128962367846111,0.09128962367846111,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
5,20260703,20260703,20260706,20260707,000506.SZ,招金黄金,2→3,贵金属,13.87,TOP10,1,1,TOP10,只观察不追,≤14.01,只观察不追,≤14.01,冲高至15.10附近优先兑现；强势放量再看15.78；弱于13.66止损,冲高至15.10附近优先兑现；强势放量再看15.78；弱于13.66止损,只观察不追,≤14.01,只观察不追,≤14.01,冲高至15.10附近优先兑现；强势放量再看15.78；弱于13.66止损,冲高至15.10附近优先兑现；强势放量再看15.78；弱于13.66止损,0.428617,0.428617,61.3518,61.3518,0.639831,0.639831,63.3666,63.3666,0.627395,58.438,0.819479,68.4304,0.9038052593848843,0.97059885708398,0.5363797289158074,0.6329426839030524,0.6015196611552593,0.6411254649863931,0.5803975767803778,0.28386757187625766,0.41509591473119123,0.03993724963228772,0.08491751592077115,0.02548000996502922,0.02757707355266919,0.6505539603345198,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.563684,0.428617,historical_bin_blend_v1,48.3886,66.6458,74.2185,87.3016,60.1529,60.1529,10,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.713744,0.653929,0.632943,0.661674,0.307955,0.185703,80.7407,57.1394,60.65,74.65,0.292,0.0,88.1681,88.1681,0.154847,81.6909,49.8026,60.6095,66.236,53.7027,0.537027,1,0,ELIGIBLE,ok,professional_score_rule_guarded,5,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.9060959528958094,0.9060959528958094,,0.08513712184014219,0.0,0.08886636382169279,0.08886636382169279,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
6,20260703,20260703,20260706,20260707,603596.SH,伯特利,1→2,汽车零部件,27.65,TOP10,1,1,TOP10,只观察不追,≤27.93,只观察不追,≤27.93,冲高至30.07附近优先兑现；强势放量再看31.44；弱于27.24止损,冲高至30.07附近优先兑现；强势放量再看31.44；弱于27.24止损,只观察不追,≤27.93,只观察不追,≤27.93,冲高至30.07附近优先兑现；强势放量再看31.44；弱于27.24止损,冲高至30.07附近优先兑现；强势放量再看31.44；弱于27.24止损,0.442263,0.442263,72.0923,72.0923,0.638511,0.638511,68.7359,68.7359,0.955309,78.8177,0.839972,87.0842,0.887271643139278,0.8630667091169507,0.4258365762490293,0.6760877723219146,0.5533293965579303,0.6747601291432231,0.6647397649846997,0.21600874679417964,0.5083092808176325,0.04536809380704195,0.0732214888699533,0.011175709219848113,0.01749453050415895,0.6494140096565031,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.584678,0.442263,historical_bin_blend_v1,51.2217,55.3422,82.885,86.4537,63.0599,63.0599,2,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.708164,0.644265,0.676088,0.629062,0.306202,0.211816,79.537,57.1394,47.18,48.98,0.0,0.0,83.0466,83.0466,0.115716,50.4355,34.2229,59.6111,56.1258,53.0248,0.530248,1,0,ELIGIBLE,ok,professional_score_rule_guarded,6,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.8964154538401159,0.8964154538401159,,0.08378138789115422,0.0,0.08739115095038966,0.08739115095038966,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
7,20260703,20260703,20260706,20260707,603915.SH,国茂股份,1→2,通用设备,16.03,TOP10,1,1,TOP10,只观察不追,≤16.19,只观察不追,≤16.19,冲高至17.39附近优先兑现；强势放量再看18.27；弱于15.79止损,冲高至17.39附近优先兑现；强势放量再看18.27；弱于15.79止损,只观察不追,≤16.19,只观察不追,≤16.19,冲高至17.39附近优先兑现；强势放量再看18.27；弱于15.79止损,冲高至17.39附近优先兑现；强势放量再看18.27；弱于15.79止损,0.447227,0.447227,62.2201,62.2201,0.601186,0.601186,61.1715,61.1715,0.595026,55.3663,0.744623,64.395,0.8779121052183552,0.9677196873768199,0.6280045982946899,0.667893189299993,0.5821437625938012,0.5830665671335923,0.5283311068756202,0.35060857571730525,0.45572326092880544,0.04028798229108022,0.08410832789796294,0.02624774006157516,0.023347443591338588,0.6467235844573062,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.618111,0.447227,historical_bin_blend_v1,50.4444,64.4887,72.5172,86.0263,60.6513,60.6513,9,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.678669,0.672405,0.667893,0.624883,0.35413,0.208577,75.9259,57.1394,47.18,48.98,0.0,0.0,82.7195,82.7195,0.12363,82.5167,44.9578,58.8265,60.7907,52.8758,0.528758,1,0,ELIGIBLE,ok,professional_score_rule_guarded,7,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.8652561353173256,0.8652561353173256,,0.08121259298285714,0.0,0.0846014507164138,0.0846014507164138,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
8,20260703,20260703,20260706,20260707,603178.SH,圣龙股份,1→2,汽车零部件,15.68,TOP10,1,1,TOP10,只观察不追,≤15.84,只观察不追,≤15.84,冲高至17.01附近优先兑现；强势放量再看17.71；弱于15.44止损,冲高至17.01附近优先兑现；强势放量再看17.71；弱于15.44止损,只观察不追,≤15.84,只观察不追,≤15.84,冲高至17.01附近优先兑现；强势放量再看17.71；弱于15.44止损,冲高至17.01附近优先兑现；强势放量再看17.71；弱于15.44止损,0.411337,0.411337,58.9698,58.9698,0.631367,0.631367,60.8007,60.8007,0.55587,47.9886,0.771529,60.0165,0.8831294597794709,0.9648368715692918,0.5290563453980781,0.6629051913914216,0.6168797508587741,0.6461288672960471,0.5511095026034121,0.32893981441926806,0.47247154733151514,0.045698486398226615,0.0826253268996989,0.024699438320212142,0.02896954716836485,0.6473013826169437,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.5371,0.411337,historical_bin_blend_v1,47.4455,67.1652,70.1967,66.7485,56.3975,56.3975,16,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.70186,0.656882,0.662905,0.645803,0.334116,0.20678,75.9259,57.1394,47.18,48.98,0.0,0.0,72.2152,72.2152,0.119632,80.8614,51.4124,57.634,62.5099,52.4691,0.524691,1,0,ELIGIBLE,ok,professional_score_rule_guarded,8,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.9121155605443272,0.9121155605443272,,0.08121259298285714,0.0,0.0846014507164138,0.0846014507164138,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
9,20260703,20260703,20260706,20260707,603730.SH,岱美股份,1→2,汽车零部件,13.0,TOP10,1,1,TOP10,只观察不追,≤13.13,只观察不追,≤13.13,冲高至14.16附近优先兑现；强势放量再看15.10；弱于12.80止损,冲高至14.16附近优先兑现；强势放量再看15.10；弱于12.80止损,只观察不追,≤13.13,只观察不追,≤13.13,冲高至14.16附近优先兑现；强势放量再看15.10；弱于12.80止损,冲高至14.16附近优先兑现；强势放量再看15.10；弱于12.80止损,0.469418,0.469418,70.3571,70.3571,0.597023,0.597023,65.7418,65.7418,0.966912,85.6714,0.803251,88.2828,0.8992814736385513,0.972106489065872,0.5173967422549681,0.6014750129623581,0.5782561868113604,0.6156635201777965,0.47332616600636374,0.36648436559337566,0.4750750467176277,0.042587100174053094,0.08294035694224512,0.020651127041752693,0.019003830446072845,0.6130520731145656,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.652251,0.469418,historical_bin_blend_v1,51.6604,60.8106,80.7328,85.5264,63.0522,63.0522,3,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.681655,0.657711,0.601475,0.596358,0.363673,0.219039,80.7407,57.1394,47.18,48.98,0.0,0.0,82.2048,82.2048,0.12765,71.2547,37.0706,58.4479,57.6732,52.1806,0.521806,1,0,ELIGIBLE,ok,professional_score_rule_guarded,9,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.8130855874865011,0.8130855874865011,,0.08513712184014219,0.0,0.08886636382169279,0.08886636382169279,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
10,20260703,20260703,20260706,20260707,600793.SH,宜宾纸业,3→4,造纸,16.01,TOP10,1,1,TOP10,只观察不追,≤16.17,只观察不追,≤16.17,冲高至17.36附近优先兑现；强势放量再看18.09；弱于15.77止损,冲高至17.36附近优先兑现；强势放量再看18.09；弱于15.77止损,只观察不追,≤16.17,只观察不追,≤16.17,冲高至17.36附近优先兑现；强势放量再看18.09；弱于15.77止损,冲高至17.36附近优先兑现；强势放量再看18.09；弱于15.77止损,0.44094,0.44094,59.233,59.233,0.597153,0.597153,58.6366,58.6366,0.465201,50.795,0.75611,58.3131,0.8800465251021965,0.9677174292657136,0.6329741835659334,0.6485833559531559,0.5915590143102043,0.5203182695752275,0.4822941224236197,0.41550493187239285,0.40933621054106595,0.04306553021787097,0.08404213436780199,0.024401171233074854,0.015050723747377344,0.6282387087414527,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.582642,0.44094,historical_bin_blend_v1,49.3455,63.0901,68.5028,85.7524,58.9163,58.9163,12,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.676363,0.663189,0.648583,0.598537,0.382782,0.199424,75.9259,57.1394,60.65,74.65,0.292,0.0,87.3762,87.3762,0.165334,79.5707,32.3065,61.3385,61.421,50.1453,0.501453,1,0,ELIGIBLE,ok,professional_score_rule_guarded,11,5516.0,0.6874546773023931,0.011162067442897336,0.012139967264920393,174.0,0.03154459753444525,347.0,0.06290790427846266,3205261678.23458,0.5713937968448013,0.9096109259859391,0.9096109259859391,,0.08121259298285714,0.0,0.0846014507164138,0.0846014507164138,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
