rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260605,20260605,20260608,20260609,603500.SH,祥和实业,12.23,市价竞价,≤12.80,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,市价竞价,≤12.80,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,冲高至13.70附近优先兑现；强势放量再看14.17；弱于12.05止损,0.98038,0.98038,64.4114,64.4114,0.855491,0.855491,83.2553,83.2553,0.98038,64.4114,0.855491,83.2553,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,12.616152706106753,13.243358049872981,13.697600000000001,14.167422269595704,14.871748157358788,0.98829186007614,0.98829186007614,1,1,1,0.7862900508987007,0.0,0.0,,,,,,,,
2,20260605,20260605,20260608,20260609,600382.SH,广东明珠,9.68,市价竞价,≤10.13,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,市价竞价,≤10.13,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,冲高至10.84附近优先兑现；强势放量再看11.21；弱于9.53止损,0.949332,0.949332,63.48,63.48,0.855491,0.855491,81.7805,81.7805,0.949332,63.48,0.855491,81.7805,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,9.985638446043613,10.482069167847134,10.841600000000001,11.213462597684906,11.770933946298697,0.98829186007614,0.98829186007614,2,2,2,0.4442994707794522,0.0,0.0,,,,,,,,
3,20260605,20260605,20260608,20260609,003036.SZ,泰坦股份,82.35,市价竞价,≤85.69,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,市价竞价,≤85.69,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,冲高至90.57附近优先兑现；强势放量再看93.68；弱于81.11止损,0.945748,0.945748,63.3724,63.3724,0.789898,0.789898,79.9705,79.9705,0.945748,63.3724,0.789898,79.9705,,,,,,,,rule_fallback:model_missing,0.0,0.0998100697566066,0.0998100697566066,up,high,1.0,ehx:model_v1,0.01289481978189047,0.06141301352740342,0.09513750103857455,0.12886198854974568,0.17738018229525948,83.41876436180829,87.56588401047712,90.56935924445655,93.67585249262113,98.3328978402722,0.9714634142152606,0.9714634142152606,3,37,37,0.8133965539193028,0.0,0.0,,,,,,,,
4,20260605,20260605,20260608,20260609,600996.SH,贵广网络,9.38,市价竞价,≤9.82,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,市价竞价,≤9.82,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,冲高至10.51附近优先兑现；强势放量再看10.87；弱于9.24止损,0.900261,0.900261,62.0078,62.0078,0.855491,0.855491,79.4497,79.4497,0.900261,62.0078,0.855491,79.4497,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,9.676166180153832,10.157211652314682,10.505600000000001,10.865937930401284,11.406132274409275,0.98829186007614,0.98829186007614,4,3,3,0.3617135893242056,0.0,0.0,,,,,,,,
5,20260605,20260605,20260608,20260609,603725.SH,天安新材,12.84,市价竞价,≤13.44,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,市价竞价,≤13.44,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,冲高至14.38附近优先兑现；强势放量再看14.87；弱于12.65止损,0.820249,0.820249,59.6075,59.6075,0.855491,0.855491,75.6491,75.6491,0.820249,59.6075,0.855491,75.6491,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,13.245412980082643,13.903901664788966,14.3808,14.87405575973907,15.61351155686728,0.98829186007614,0.98829186007614,5,5,5,0.2845838255437202,0.0,0.0,,,,,,,,
6,20260605,20260605,20260608,20260609,000520.SZ,凤凰航运,4.6,市价竞价,≤4.81,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,市价竞价,≤4.81,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,冲高至5.15附近优先兑现；强势放量再看5.33；弱于4.53止损,0.810911,0.810911,59.3273,59.3273,0.855491,0.855491,75.2056,75.2056,0.810911,59.3273,0.855491,75.2056,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,4.745241410309981,4.981148571497605,5.152,5.3287115650155545,5.59362563563781,0.98829186007614,0.98829186007614,6,4,4,0.2775622274304543,0.0,0.0,,,,,,,,
7,20260605,20260605,20260608,20260609,002613.SZ,北玻股份,4.96,市价竞价,≤5.19,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,市价竞价,≤5.19,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,冲高至5.56附近优先兑现；强势放量再看5.75；弱于4.89止损,0.671896,0.671896,55.1569,55.1569,0.855491,0.855491,68.6023,68.6023,0.671896,55.1569,0.855491,68.6023,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,5.116608129377719,5.370977590136548,5.5552,5.745741165755903,6.031387641905117,0.98829186007614,0.98829186007614,7,6,6,0.1939777055630064,0.0,0.0,,,,,,,,
8,20260605,20260605,20260608,20260609,600063.SH,皖维高新,8.22,限价竞价,≤8.60,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,限价竞价,≤8.60,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,冲高至9.21附近优先兑现；强势放量再看9.52；弱于8.10止损,0.649344,0.649344,54.4803,54.4803,0.855491,0.855491,67.5311,67.5311,0.649344,54.4803,0.855491,67.5311,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,8.47954008538001,8.9010959255892,9.206400000000002,9.522175883571276,9.995565809770175,0.98829186007614,0.98829186007614,8,11,11,0.1825999052454331,0.0,0.0,,,,,,,,
9,20260605,20260605,20260608,20260609,600293.SH,三峡新材,3.96,限价竞价,≤4.14,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,限价竞价,≤4.14,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,冲高至4.44附近优先兑现；强势放量再看4.59；弱于3.90止损,0.589561,0.589561,52.6868,52.6868,0.855491,0.855491,64.6914,64.6914,0.589561,52.6868,0.855491,64.6914,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,4.085033909745114,4.288119205028373,4.4352,4.587325608143826,4.815382068940376,0.98829186007614,0.98829186007614,9,15,15,0.1538774820933776,0.0,0.0,,,,,,,,
10,20260605,20260605,20260608,20260609,000068.SZ,华控赛格,3.56,限价竞价,≤3.72,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,限价竞价,≤3.72,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,冲高至3.96附近优先兑现；强势放量再看4.10；弱于3.51止损,0.585814,0.585814,52.5744,52.5744,0.814154,0.814154,63.48,63.48,0.585814,52.5744,0.814154,63.48,,,,,,,,rule_fallback:model_missing,0.0,0.11310958736872767,0.11310958736872767,up,high,1.0,ehx:model_v1,0.02491484743746697,0.07343304118297991,0.10715752869415104,0.14088201620532217,0.189400209950836,3.64981102507273,3.8312594453628908,3.962670131032671,4.09858815131512,4.302347288532722,0.9839494951988774,0.9839494951988774,10,29,29,0.1927665850377941,0.0,0.0,,,,,,,,
