rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_up_prob_model,t_high_profit_prob_model,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_accept_prob_model,t1_fail_prob_model,t1_big_drawdown_prob_model,t_close_ret_pred,t_intraday_ret_pred,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,model_can_rank,model_rank_mode,model_quality_flag,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,t_up_prob_model_blend,t_high_profit_prob_model_blend,t_touch_limitup_prob_blend,t1_accept_prob_blend,t1_fail_prob_blend,t1_big_drawdown_prob_blend,eret_plus_score,market_score,intraday_attack_edge,intraday_execution_edge,intraday_risk_penalty,intraday_hard_risk_flag,execution_safety_score,execution_score,risk_penalty_score,t1_close_ret_pred_score,t1_high_ret_pred_score,t_up_attack_score,t1_accept_score,premium_final_score,premium_final_score_raw,premium_eligible,premium_force_excluded,premium_bucket,premium_exclude_reason,premium_rank_mode,rank_premium_final,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,t1_up_rate,T+1上涨率,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up,open_T_actual,high_T_actual,close_T_actual,t_limit_price_est,t_up_actual,t_limitup_actual,t_touch_limitup_actual,t_limitup_verify_ready,t_open_ret,t_intraday_ret,t_close_ret,t_high_profit_hit,open_T2_actual,high_T2_actual,low_T2_actual,close_T2_actual,t1_open_ret,t1_low_ret,t1_close_ret,t1_high_ret,t1_up_hit,t1_high_profit_hit,t1_accept_hit,t1_fail_hit,t1_big_drawdown_hit,t1_limitdown_risk_hit,t_limitup_verify_reason,t_limitup_verify_trade_date,d_analysis_trade_date
1,20260626,20260626,20260629,20260630,601016.SH,节能风电,新型电力,3.94,TOP10,1,1,TOP10,只观察不追,≤3.98,只观察不追,≤3.98,冲高至4.37附近优先兑现；强势放量再看4.59；弱于3.88止损,冲高至4.37附近优先兑现；强势放量再看4.59；弱于3.88止损,只观察不追,≤3.98,只观察不追,≤3.98,冲高至4.37附近优先兑现；强势放量再看4.59；弱于3.88止损,冲高至4.37附近优先兑现；强势放量再看4.59；弱于3.88止损,0.445042,0.445042,43.2633,43.2633,0.7775,0.7775,62.2197,62.2197,0.368958,38.4687,0.786002,52.3814,0.784300248044531,0.9716974482692191,0.7200896673032015,0.4645966255263431,0.8017277323273185,0.8000230093603933,0.7173973730281565,0.27611064984700506,0.2527567505553018,0.08267043886897753,0.1128240026841579,0.05313807178571567,0.0891087174823763,0.7128502232887177,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.61475,0.445042,historical_bin_blend_v1,44.7321,83.3406,55.958,88.6314,54.8499,54.8499,29,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.779404,0.599545,0.464597,0.818831,0.187883,0.11551,100.0,13.5966,60.65,74.65,0.292,0.0,88.809,88.809,0.123699,89.9986,94.5833,57.4915,83.8452,63.7841,0.637841,1,0,ELIGIBLE,ok,professional_score_rule_guarded,1,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.9270459016633299,0.9270459016633299,,0.10463385781550702,0.0,0.11030400678839168,0.11030400678839168,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
2,20260626,20260626,20260629,20260630,603956.SH,威派格,专用机械,5.83,TOP10,1,1,TOP10,市价竞价,≤6.07,市价竞价,≤6.07,冲高至6.45附近优先兑现；强势放量再看6.78；弱于5.74止损,冲高至6.45附近优先兑现；强势放量再看6.78；弱于5.74止损,市价竞价,≤6.07,市价竞价,≤6.07,冲高至6.45附近优先兑现；强势放量再看6.78；弱于5.74止损,冲高至6.45附近优先兑现；强势放量再看6.78；弱于5.74止损,0.674328,0.674328,81.5065,81.5065,0.813092,0.813092,78.4528,78.4528,0.981082,75.6158,0.910381,87.8112,0.8837114512980557,0.9762465562992183,0.8640712152469067,0.8543360918036326,0.8116123354117206,0.6859851426389882,0.7385180514651413,0.23824733274490828,0.2066666117662981,0.09146936315676363,0.11249435564982721,0.024947019444926045,0.05735874265852351,0.8086619118868019,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.899174,0.674328,historical_bin_blend_v1,72.0803,73.8413,88.9039,71.4768,76.2113,76.2113,1,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.832865,0.823668,0.854336,0.757537,0.200343,0.10533,97.2917,13.5966,60.65,74.65,0.292,0.0,79.3053,79.3053,0.123748,54.6929,56.563,75.9194,72.0867,63.7001,0.637001,1,0,ELIGIBLE,ok,professional_score_rule_guarded,2,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.9156754070256955,0.9156754070256955,,0.1017903689931906,0.0,0.10715135414620218,0.10715135414620218,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
3,20260626,20260626,20260629,20260630,600481.SH,双良节能,电气设备,4.84,TOP10,1,1,TOP10,限价竞价,≤5.03,限价竞价,≤5.03,冲高至5.30附近优先兑现；强势放量再看5.56；弱于4.77止损,冲高至5.30附近优先兑现；强势放量再看5.56；弱于4.77止损,限价竞价,≤5.03,限价竞价,≤5.03,冲高至5.30附近优先兑现；强势放量再看5.56；弱于4.77止损,冲高至5.30附近优先兑现；强势放量再看5.56；弱于4.77止损,0.548683,0.548683,61.8465,61.8465,0.788462,0.788462,67.4576,67.4576,0.566764,49.7363,0.767782,62.6621,0.7746244116936314,0.9689741299311835,0.8630962705381995,0.6991996610559398,0.8099617530760067,0.6283158383445495,0.7577047841379211,0.29576749975444583,0.28937278295130087,0.09064428849691264,0.10792996603299049,0.04833561462138893,0.08796146264559851,0.759561488197142,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.774197,0.548683,historical_bin_blend_v1,58.2754,83.0096,73.7746,88.7235,67.0288,67.0288,5,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.784587,0.720551,0.6992,0.79754,0.221822,0.132948,84.8333,13.5966,58.39,72.89,0.313,0.0,88.5548,88.5548,0.138872,85.3479,93.5,65.9916,81.4442,60.9177,0.609177,1,0,ELIGIBLE,ok,professional_score_rule_guarded,3,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.9005646247321698,0.9005646247321698,,0.090567829943451,0.0,0.09479576505801421,0.09479576505801421,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
4,20260626,20260626,20260629,20260630,603163.SH,圣晖集成,建筑工程,135.58,TOP10,1,1,TOP10,只观察不追,≤136.94,只观察不追,≤136.94,冲高至149.37附近优先兑现；强势放量再看155.90；弱于133.55止损,冲高至149.37附近优先兑现；强势放量再看155.90；弱于133.55止损,只观察不追,≤136.94,只观察不追,≤136.94,冲高至149.37附近优先兑现；强势放量再看155.90；弱于133.55止损,冲高至149.37附近优先兑现；强势放量再看155.90；弱于133.55止损,0.434725,0.434725,59.4459,59.4459,0.754036,0.754036,68.9143,68.9143,0.801704,62.3011,0.814667,76.3136,0.8905580071160359,0.9664542475457314,0.4750990344647963,0.5754249903018483,0.7466140408880454,0.7869871951902332,0.7218578607874959,0.19679924748455802,0.1862133038466151,0.1039053528557351,0.11375663971889047,0.021486401169225587,0.08983884458231461,0.6969620111413037,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.573081,0.434725,historical_bin_blend_v1,47.6024,71.5316,73.6675,88.0725,59.9707,59.9707,18,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.792262,0.634261,0.575425,0.743214,0.210019,0.100488,94.0417,13.5966,60.65,74.65,0.292,0.0,88.5929,88.5929,0.124521,49.3502,96.75,59.9539,75.5972,60.3406,0.603406,1,0,ELIGIBLE,ok,professional_score_rule_guarded,4,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.936559183631659,0.936559183631659,,0.09684688670685425,0.0,0.10169167706579081,0.10169167706579081,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
5,20260626,20260626,20260629,20260630,601369.SH,陕鼓动力,机械基件,9.05,TOP10,1,1,TOP10,市价竞价,≤9.38,市价竞价,≤9.38,冲高至9.78附近优先兑现；强势放量再看10.33；弱于8.91止损,冲高至9.78附近优先兑现；强势放量再看10.33；弱于8.91止损,市价竞价,≤9.38,市价竞价,≤9.38,冲高至9.78附近优先兑现；强势放量再看10.33；弱于8.91止损,冲高至9.78附近优先兑现；强势放量再看10.33；弱于8.91止损,0.637428,0.637428,73.176,73.176,0.811152,0.811152,76.3724,76.3724,0.840676,70.2869,0.751331,78.1968,0.8365804277773443,0.9549542552637306,0.8431465604008823,0.7510208855105412,0.8280632989901922,0.7976061882265937,0.8218041570859734,0.20313467193192244,0.251134626898256,0.09979619400201777,0.10525247577561997,0.04294433640286706,0.06011149907836942,0.8144687591813122,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.842405,0.637428,historical_bin_blend_v1,66.7308,80.482,83.2389,86.8842,73.8672,73.8672,2,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.818272,0.767229,0.751021,0.79262,0.211141,0.121672,72.9167,13.5966,60.65,74.65,0.292,0.0,87.7143,87.7143,0.129829,79.4421,61.6992,69.7208,77.4674,59.0815,0.590815,1,0,ELIGIBLE,ok,professional_score_rule_guarded,5,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.8288877805613041,0.8288877805613041,,0.07730952999767228,0.0,0.08037643355810888,0.08037643355810888,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
6,20260626,20260626,20260629,20260630,600228.SH,返利科技,互联网,10.79,TOP10,1,1,TOP10,市价竞价,≤11.21,市价竞价,≤11.21,冲高至11.87附近优先兑现；强势放量再看12.55；弱于10.63止损,冲高至11.87附近优先兑现；强势放量再看12.55；弱于10.63止损,市价竞价,≤11.21,市价竞价,≤11.21,冲高至11.87附近优先兑现；强势放量再看12.55；弱于10.63止损,冲高至11.87附近优先兑现；强势放量再看12.55；弱于10.63止损,0.641413,0.641413,72.3502,72.3502,0.775386,0.775386,73.2479,73.2479,0.964262,75.7112,0.852787,85.0248,0.8612956612157343,0.9583918278690858,0.7989375881758594,0.7010960329468187,0.8183733834712092,0.6558240977639481,0.6188948982165916,0.26075440584805143,0.2717845735118245,0.0845108885220472,0.10860835760266893,0.029699026898670166,0.036447001114561374,0.7411839771782183,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.848535,0.641413,historical_bin_blend_v1,66.0365,72.8367,82.0768,63.1605,70.0603,70.0603,4,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.799441,0.751653,0.701096,0.705712,0.239513,0.133458,91.875,13.5966,60.65,74.65,0.292,0.0,74.585,74.585,0.138333,64.7455,24.4637,69.4918,66.6279,56.8474,0.568474,1,0,ELIGIBLE,ok,professional_score_rule_guarded,6,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.8729862206774428,0.8729862206774428,,0.09499249070548631,0.0,0.09965059749489974,0.09965059749489974,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
7,20260626,20260626,20260629,20260630,300540.SZ,蜀道装备,专用机械,30.5,TOP10,1,1,TOP10,只观察不追,≤30.80,只观察不追,≤30.80,冲高至33.06附近优先兑现；强势放量再看35.16；弱于30.04止损,冲高至33.06附近优先兑现；强势放量再看35.16；弱于30.04止损,只观察不追,≤30.80,只观察不追,≤30.80,冲高至33.06附近优先兑现；强势放量再看35.16；弱于30.04止损,冲高至33.06附近优先兑现；强势放量再看35.16；弱于30.04止损,0.445722,0.445722,57.1987,57.1987,0.680322,0.680322,58.6234,58.6234,0.268487,41.8046,0.619734,44.9643,0.6425609246284989,0.8650620257392612,0.7277908230724588,0.674613957490247,0.7142399214825483,0.7183277860341477,0.6541734552554637,0.2274239890607119,0.31314844088042343,0.09090672585703792,0.10521974363977978,0.04043967719445084,0.07785710291919122,0.6859957178880421,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.59,0.445722,historical_bin_blend_v1,49.9549,72.8367,55.6526,87.5344,56.9945,56.9945,21,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.669749,0.645538,0.674614,0.70878,0.268374,0.15386,76.7083,13.5966,60.65,74.65,0.292,0.0,87.8781,87.8781,0.149001,75.4616,87.4583,60.0053,74.513,53.9903,0.539903,1,0,ELIGIBLE,ok,professional_score_rule_guarded,8,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.8099739944285517,0.8099739944285517,,0.0804732983831668,0.0,0.08379990704604372,0.08379990704604372,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
8,20260626,20260626,20260629,20260630,002568.SZ,百润股份,红黄酒,15.73,TOP10,1,1,TOP10,限价竞价,≤16.26,限价竞价,≤16.26,冲高至17.06附近优先兑现；强势放量再看17.86；弱于15.49止损,冲高至17.06附近优先兑现；强势放量再看17.86；弱于15.49止损,限价竞价,≤16.26,限价竞价,≤16.26,冲高至17.06附近优先兑现；强势放量再看17.86；弱于15.49止损,冲高至17.06附近优先兑现；强势放量再看17.86；弱于15.49止损,0.486765,0.486765,52.3148,52.3148,0.697574,0.697574,59.1391,59.1391,0.344189,37.4257,0.775838,50.0997,0.7530673766255908,0.9318369615057648,0.8224034669377087,0.6224093850083102,0.7185480374310317,0.596477447986852,0.5888210024490099,0.3014275790979479,0.29930917828512954,0.0847577048590573,0.10005620234966847,0.05143939512605364,0.06144849093803554,0.6850380218910292,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.678939,0.486765,historical_bin_blend_v1,51.4819,74.2001,55.3889,79.5079,57.0229,57.0229,20,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.713112,0.660217,0.622409,0.701759,0.284743,0.148535,79.9583,13.5966,60.65,74.65,0.292,0.0,83.8303,83.8303,0.150997,88.4198,64.2558,60.5442,72.7067,53.5654,0.535654,1,0,ELIGIBLE,ok,professional_score_rule_guarded,9,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.8845195360009959,0.8845195360009959,,0.08121259298285714,0.0,0.0846014507164138,0.0846014507164138,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
9,20260626,20260626,20260629,20260630,603698.SH,航天工程,专用机械,43.55,TOP10,1,1,TOP10,只观察不追,≤43.99,只观察不追,≤43.99,冲高至46.62附近优先兑现；强势放量再看48.60；弱于42.90止损,冲高至46.62附近优先兑现；强势放量再看48.60；弱于42.90止损,只观察不追,≤43.99,只观察不追,≤43.99,冲高至46.62附近优先兑现；强势放量再看48.60；弱于42.90止损,冲高至46.62附近优先兑现；强势放量再看48.60；弱于42.90止损,0.441888,0.441888,60.9449,60.9449,0.756971,0.756971,61.8702,61.8702,0.259934,47.2147,0.678202,47.2699,0.676852328141639,0.9331120108285049,0.7598814611571603,0.7009836569199522,0.8031888572497335,0.7314267790638218,0.7183061160148325,0.1546463818558366,0.19917817004324254,0.09411937803855269,0.10919900493479028,0.05362772302172735,0.09544663879905411,0.7292768794678406,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.609897,0.441888,historical_bin_blend_v1,50.5281,83.7837,64.5669,85.8537,60.0288,60.0288,17,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.734538,0.672705,0.700984,0.753499,0.247939,0.111866,54.4388,13.5966,60.65,74.65,0.292,0.0,87.3995,87.3995,0.134836,91.2248,100.0,60.5565,81.2,53.4109,0.534109,1,0,ELIGIBLE,ok,professional_score_rule_guarded,10,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.8659598796987924,0.8659598796987924,,0.06813006304648188,0.0,0.07050453250539788,0.07050453250539788,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
10,20260626,20260626,20260629,20260630,002354.SZ,天娱数科,互联网,8.83,TOP10,1,1,TOP10,只观察不追,≤8.92,只观察不追,≤8.92,冲高至9.54附近优先兑现；强势放量再看10.03；弱于8.70止损,冲高至9.54附近优先兑现；强势放量再看10.03；弱于8.70止损,只观察不追,≤8.92,只观察不追,≤8.92,冲高至9.54附近优先兑现；强势放量再看10.03；弱于8.70止损,冲高至9.54附近优先兑现；强势放量再看10.03；弱于8.70止损,0.43989,0.43989,46.3948,46.3948,0.76645,0.76645,61.9552,61.9552,0.163812,40.7643,0.694559,42.5718,0.7585149490777459,0.9572881198097639,0.7598355275645242,0.5014840258912269,0.7697509573390076,0.8450294296633764,0.8167001505313692,0.2561463113530236,0.2772029507486234,0.09246677918367029,0.10743144269967027,0.027231941732269192,0.06355623869625107,0.7429498142248125,limitup_probability_engine:model_v1,False,disabled_validation_not_pass:days=16;samples=480;t1_accept_auc=0.49488864549105516;t1_accept_brier=0.2700313117103626;t1_ret_spearman_ic=-0.05027410609663284,degraded,0.581028,0.43989,historical_bin_blend_v1,45.3383,72.1155,57.1702,89.876,54.8908,54.8908,27,0.5810016180667515,0.06615763925261817,0.2425780105929333,0.11026273208769696,0.764228,0.606935,0.501484,0.747864,0.252439,0.13703,72.9167,13.5966,60.65,74.65,0.292,0.0,89.4401,89.4401,0.141775,57.526,67.0372,56.4022,73.0412,52.5147,0.525147,1,0,ELIGIBLE,ok,professional_score_rule_guarded,11,5508.0,0.1412490922294844,-0.02592157176951191,-0.029184322752433933,90.0,0.016339869281045753,193.0,0.035039941902687,3554464040.77786,0.13596586782861295,0.8503137442201345,0.8503137442201345,,0.07730952999767228,0.0,0.08037643355810888,0.08037643355810888,up,high,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,t_daily_not_ready,,
