rank,trade_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+2卖出计划,t1_buy_method,t1_max_buy_price,t2_sell_plan,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260609,20260611,600186.SH,莲花控股,11.54,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11152468293461924,0.11152468293461924,up,high,1.0,ehx:model_v1,0.023489979787614537,0.0720081735331275,0.10573266104429861,0.13945714855546973,0.18797534230098356,11.814283208396064,12.401624035167039,12.826994841065506,13.266955697589406,13.926515367076465,1,1,0.113665303045984,0.0,0.0,,,,,,,,
2,20260609,20260611,002051.SZ,中工国际,12.23,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11152468293461924,0.11152468293461924,up,high,1.0,ehx:model_v1,0.023489979787614537,0.0720081735331275,0.10573266104429861,0.13945714855546973,0.18797534230098356,12.520683157598258,13.143142283370269,13.593946872290394,14.060213880547527,14.759209960081906,2,2,0.1139641480513899,0.0,0.0,,,,,,,,
3,20260609,20260611,600110.SH,诺德股份,11.81,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11152468293461924,0.11152468293461924,up,high,1.0,ehx:model_v1,0.023489979787614537,0.0720081735331275,0.10573266104429861,0.13945714855546973,0.18797534230098356,12.090700579823011,12.691783349681348,13.127106505457855,13.577361073529541,14.25235238173077,3,3,0.0753892073040199,0.0,0.0,,,,,,,,
4,20260609,20260611,603020.SH,爱普股份,11.64,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11152468293461924,0.11152468293461924,up,high,1.0,ehx:model_v1,0.023489979787614537,0.0720081735331275,0.10573266104429861,0.13945714855546973,0.18797534230098356,11.916660012628268,12.509090447950117,12.93814730935897,13.381920651641309,14.047195742874358,4,4,0.0316103459239092,0.0,0.0,,,,,,,,
5,20260609,20260611,002585.SZ,双星新材,12.2,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11152468293461924,0.11152468293461924,up,high,1.0,ehx:model_v1,0.023489979787614537,0.0720081735331275,0.10573266104429861,0.13945714855546973,0.18797534230098356,12.489970116328596,13.110902359535345,13.560601131802354,14.025724394331956,14.723005847342538,5,5,0.0269382219567253,0.0,0.0,,,,,,,,
6,20260609,20260611,605069.SH,正和生态,11.34,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11036901847790512,0.11036901847790512,up,high,1.0,ehx:model_v1,0.022449727897802002,0.07096792164331495,0.10469240915448608,0.1384168966656572,0.186935090411171,11.59745904412323,12.174020572509228,12.591584669539444,13.02347105016448,13.67092600947979,6,6,0.3021921649086271,0.0,0.0,,,,,,,,
7,20260609,20260611,000037.SZ,深南电A,11.39,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.11036901847790512,0.11036901847790512,up,high,1.0,ehx:model_v1,0.022449727897802002,0.07096792164331495,0.10469240915448608,0.1384168966656572,0.186935090411171,11.648594225093792,12.22769791189419,12.64710312046334,13.080893762025877,13.731203461020707,7,7,0.1584081674699636,0.0,0.0,,,,,,,,
8,20260609,20260611,688141.SH,杰华特,103.7,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.10527860520252987,0.10527860520252987,up,high,1.0,ehx:model_v1,0.017854753338255452,0.0663729470837684,0.10009743459493953,0.13382192210611066,0.18234011585162446,105.56816611428881,110.81643152934143,114.61739135950235,118.54872261049965,124.44230951056755,8,8,0.1227006193223835,0.0,0.0,,,,,,,,
9,20260609,20260611,002484.SZ,江海股份,91.98,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.10527860520252987,0.10527860520252987,up,high,1.0,ehx:model_v1,0.017854753338255452,0.0663729470837684,0.10009743459493953,0.13382192210611066,0.18234011585162446,93.6370291146797,98.2921443786772,101.6635261065287,105.15054489598609,110.37804849355838,9,9,0.0578298202089412,0.0,0.0,,,,,,,,
10,20260609,20260611,002263.SZ,大东南,4.03,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,放弃,不建议买入,未建议买入；若误买，弱于T日收盘价立即减仓,0.0,0.1046959124741861,0.1046959124741861,up,high,1.0,ehx:model_v1,0.017327423509620937,0.06584561725513388,0.09957010476630501,0.13329459227747614,0.18181278602298995,4.100438009002502,4.304289110914391,4.451924527270971,4.604623780094182,4.8335402103392155,10,10,0.1562033810323289,0.0,0.0,,,,,,,,
