rank,trade_date,base_date,buy_date,target_date,ts_code,name,close_T,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,eret_plus_conf_score,eret_plus_src,r_p05,r_p25,r_p50,r_p75,r_p95,close_T2_p05,close_T2_p25,close_T2_p50,close_T2_p75,close_T2_p95,t1_up_rate,T+1上涨率,rank_limitup_continuation,rank_eret_plus,rank_r_p50,p_premium,e_premium,score_ev,risk_flags,confidence,data_quality,dec_rank,dec_weight,dec_can_buy,dec_p_fill,dec_reason
1,20260610,20260610,20260611,20260612,603065.SH,宿迁联盛,11.44,市价竞价,≤11.97,冲高至12.79附近优先兑现；强势放量再看13.23；弱于11.27止损,冲高至12.79附近优先兑现；强势放量再看13.23；弱于11.27止损,市价竞价,≤11.97,冲高至12.79附近优先兑现；强势放量再看13.23；弱于11.27止损,冲高至12.79附近优先兑现；强势放量再看13.23；弱于11.27止损,0.988471,0.988471,64.6541,64.6541,0.868146,0.868146,83.956,83.956,0.988471,64.6541,0.868146,83.956,,,,,,,,rule_fallback:model_missing,0.0,0.11812078102574569,0.11812078102574569,up,high,1.0,ehx:model_v1,0.029406720758906837,0.0779249145044198,0.11164940201559091,0.14537388952676203,0.19389208327227586,11.781408129732382,12.36711458939518,12.79130173493453,13.23003833201653,13.8877626742446,0.987225133469822,0.987225133469822,1,6,6,0.9179402623494288,0.0,0.0,,,,,,,,
2,20260610,20260610,20260611,20260612,002354.SZ,天娱数科,8.87,市价竞价,≤9.25,冲高至9.82附近优先兑现；强势放量再看10.15；弱于8.74止损,冲高至9.82附近优先兑现；强势放量再看10.15；弱于8.74止损,市价竞价,≤9.25,冲高至9.82附近优先兑现；强势放量再看10.15；弱于8.74止损,冲高至9.82附近优先兑现；强势放量再看10.15；弱于8.74止损,0.957699,0.957699,63.731,63.731,0.83328,0.83328,81.6227,81.6227,0.957699,63.731,0.83328,81.6227,,,,,,,,rule_fallback:model_missing,0.0,0.10667587143224543,0.10667587143224543,up,high,1.0,ehx:model_v1,0.01911813052827062,0.06763632427378358,0.1013608117849547,0.1350852992961258,0.18360349304163964,9.041209202974015,9.490688125614895,9.816214979604014,10.152907276105367,10.657653679123623,0.9786798482644818,0.9786798482644818,2,19,19,0.5160751956583188,0.0,0.0,,,,,,,,
3,20260610,20260610,20260611,20260612,600058.SH,五矿发展,10.34,市价竞价,≤10.81,冲高至11.53附近优先兑现；强势放量再看11.93；弱于10.18止损,冲高至11.53附近优先兑现；强势放量再看11.93；弱于10.18止损,市价竞价,≤10.81,冲高至11.53附近优先兑现；强势放量再看11.93；弱于10.18止损,冲高至11.53附近优先兑现；强势放量再看11.93；弱于10.18止损,0.852354,0.852354,60.5706,60.5706,0.857129,0.857129,77.215,77.215,0.852354,60.5706,0.857129,77.215,,,,,,,,rule_fallback:model_missing,0.0,0.11541694812094572,0.11541694812094572,up,high,1.0,ehx:model_v1,0.026985598258667864,0.07550379200418081,0.10922827951535194,0.14295276702652307,0.1914709607720369,10.62283009222163,11.150938458929737,11.533411243570578,11.929002693651976,12.522046738817885,0.9855396433984582,0.9855396433984582,3,11,11,0.2936421915481814,0.0,0.0,,,,,,,,
4,20260610,20260610,20260611,20260612,600981.SH,苏豪汇鸿,2.71,市价竞价,≤2.84,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,市价竞价,≤2.84,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,0.762125,0.762125,57.8638,57.8638,0.880109,0.880109,73.5037,73.5037,0.762125,57.8638,0.880109,73.5037,,,,,,,,rule_fallback:model_missing,0.0,0.12,0.12,up,high,1.0,ehx:model_v1,0.031086004050319097,0.07960419779583205,0.11332868530700317,0.1470531728181743,0.19557136656368812,2.7955661352043584,2.9345462236431543,3.0352,3.139306161128729,3.2953751027344493,0.98829186007614,0.98829186007614,4,1,1,0.1919819655731544,0.0,0.0,,,,,,,,
5,20260610,20260610,20260611,20260612,002409.SZ,雅克科技,122.55,市价竞价,≤128.21,冲高至136.84附近优先兑现；强势放量再看141.53；弱于120.71止损,冲高至136.84附近优先兑现；强势放量再看141.53；弱于120.71止损,市价竞价,≤128.21,冲高至136.84附近优先兑现；强势放量再看141.53；弱于120.71止损,冲高至136.84附近优先兑现；强势放量再看141.53；弱于120.71止损,0.767985,0.767985,58.0396,58.0396,0.86259,0.86259,73.344,73.344,0.767985,58.0396,0.86259,73.344,,,,,,,,rule_fallback:model_missing,0.0,0.1165860068499619,0.1165860068499619,up,high,1.0,ehx:model_v1,0.028033140631600326,0.07655133437711328,0.1102758218882844,0.14400030939945552,0.19251850314496935,126.03406790524825,132.29978477854704,136.83761513946283,141.53109128936399,148.5672344649922,0.98629106219255,0.98629106219255,5,9,9,0.2201253786562599,0.0,0.0,,,,,,,,
6,20260610,20260610,20260611,20260612,002119.SZ,康强电子,28.36,市价竞价,≤29.45,冲高至30.82附近优先兑现；强势放量再看31.88；弱于27.93止损,冲高至30.82附近优先兑现；强势放量再看31.88；弱于27.93止损,市价竞价,≤29.45,冲高至30.82附近优先兑现；强势放量再看31.88；弱于27.93止损,冲高至30.82附近优先兑现；强势放量再看31.88；弱于27.93止损,0.793465,0.793465,58.8039,58.8039,0.794048,0.794048,72.8408,72.8408,0.793465,58.8039,0.794048,72.8408,,,,,,,,rule_fallback:model_missing,0.0,0.08678284091184384,0.08678284091184384,up,high,1.0,ehx:model_v1,0.0009791285540626804,0.04949732229957563,0.08322180981074676,0.11694629732191789,0.16546449106743172,28.38778168449399,29.799065202136052,30.82116136825989,31.87831502916482,33.463128561651445,0.9519873541659466,0.9519873541659466,6,29,29,0.4499109680852202,0.0,0.0,,,,,,,,
7,20260610,20260610,20260611,20260612,605318.SH,法狮龙,116.56,市价竞价,≤121.59,冲高至128.95附近优先兑现；强势放量再看133.38；弱于114.81止损,冲高至128.95附近优先兑现；强势放量再看133.38；弱于114.81止损,市价竞价,≤121.59,冲高至128.95附近优先兑现；强势放量再看133.38；弱于114.81止损,冲高至128.95附近优先兑现；强势放量再看133.38；弱于114.81止损,0.768402,0.768402,58.0521,58.0521,0.829311,0.829311,72.5319,72.5319,0.768402,58.0521,0.829311,72.5319,,,,,,,,rule_fallback:model_missing,0.0,0.10633336984255261,0.10633336984255261,up,high,1.0,ehx:model_v1,0.018808595813241444,0.0673267895587544,0.10105127706992552,0.13477576458109664,0.18329395832661047,118.77307712281151,124.6778176885251,128.95421758884794,133.37729631662,140.0080778976312,0.978361439413816,0.978361439413816,7,20,20,0.2934423339455103,0.0,0.0,,,,,,,,
8,20260610,20260610,20260611,20260612,600500.SH,中化国际,6.55,市价竞价,≤6.80,冲高至7.10附近优先兑现；强势放量再看7.35；弱于6.45止损,冲高至7.10附近优先兑现；强势放量再看7.35；弱于6.45止损,市价竞价,≤6.80,冲高至7.10附近优先兑现；强势放量再看7.35；弱于6.45止损,冲高至7.10附近优先兑现；强势放量再看7.35；弱于6.45止损,0.745487,0.745487,57.3646,57.3646,0.779318,0.779318,70.1936,70.1936,0.745487,57.3646,0.779318,70.1936,,,,,,,,rule_fallback:model_missing,0.0,0.08470311774917784,0.08470311774917784,up,high,1.0,ehx:model_v1,-0.0009363559004973571,0.047581837845015594,0.08130632535618672,0.11503081286735783,0.16354900661287167,6.5438697393525045,6.869194754437755,7.104805421257115,7.348497440884705,7.713824095606034,0.9480386268952321,0.9480386268952321,8,34,34,0.4329366682821547,0.0,0.0,,,,,,,,
9,20260610,20260610,20260611,20260612,000029.SZ,深深房Ａ,26.99,市价竞价,≤27.83,冲高至28.79附近优先兑现；强势放量再看29.77；弱于26.59止损,冲高至28.79附近优先兑现；强势放量再看29.77；弱于26.59止损,市价竞价,≤27.83,冲高至28.79附近优先兑现；强势放量再看29.77；弱于26.59止损,冲高至28.79附近优先兑现；强势放量再看29.77；弱于26.59止损,0.766725,0.766725,58.0017,58.0017,0.685211,0.685211,68.8497,68.8497,0.766725,58.0017,0.685211,68.8497,,,,,,,,rule_fallback:model_missing,0.0,0.0665220705244161,0.0665220705244161,up,high,1.0,ehx:model_v1,-0.01783972819140868,0.03067846555410427,0.0644029530652754,0.09812744057644651,0.14664563432196034,26.512775173278996,27.83084373618598,28.78543068345399,29.77275958596174,31.252896545777062,0.9011372976600531,0.9011372976600531,9,61,61,0.575968158114201,0.0,0.0,,,,,,,,
10,20260610,20260610,20260611,20260612,002165.SZ,红 宝 丽,7.3,限价竞价,≤7.64,冲高至8.16附近优先兑现；强势放量再看8.44；弱于7.19止损,冲高至8.16附近优先兑现；强势放量再看8.44；弱于7.19止损,限价竞价,≤7.64,冲高至8.16附近优先兑现；强势放量再看8.44；弱于7.19止损,冲高至8.16附近优先兑现；强势放量再看8.44；弱于7.19止损,0.612646,0.612646,53.3794,53.3794,0.873223,0.873223,66.2312,66.2312,0.612646,53.3794,0.873223,66.2312,,,,,,,,rule_fallback:model_missing,0.0,0.11814132867217572,0.11814132867217572,up,high,1.0,ehx:model_v1,0.029425097537140024,0.07794329128265298,0.1116677787938241,0.14539226630499522,0.19391046005050905,7.5179947415329735,7.891747864702881,8.162431699306882,8.442399882520604,8.862109317233244,0.9872372473681498,0.9872372473681498,10,5,5,0.1224897877825031,0.0,0.0,,,,,,,,
