rank,trade_date,base_date,buy_date,target_date,ts_code,name,sector,close_T,rank_group,is_top10,is_top20,榜单分组,T日建议买入方式,T日可接受买入价,T+1建议买入方式,T+1可接受买入价,T+1卖出计划,T+2卖出计划,t_buy_method,t_max_buy_price,t1_buy_method,t1_max_buy_price,t1_sell_plan,t2_sell_plan,t_limitup_prob,T日涨停概率,t_limitup_strength,T日涨停强度,t1_continue_up_rate,T+1延续上涨率,limitup_continuation_score,涨停接力评分,t_limitup_prob_rule,t_limitup_strength_rule,t1_continue_up_rate_rule,limitup_continuation_score_rule,t_limitup_prob_model,t_touch_limitup_prob_model,t1_up_prob_model,t1_high_profit_prob_model,t1_close_ret_pred,t1_high_ret_pred,limitup_model_score,limitup_model_src,t_limitup_prob_raw_before_calibration,t_limitup_prob_calibrated,limitup_calibration_src,limitup_alpha_score,t1_alpha_score,strength_alpha_score,execution_alpha_score,premium_adaptive_score,自适应排序评分,rank_adaptive_score,adaptive_weight_limitup,adaptive_weight_t1,adaptive_weight_strength,adaptive_weight_execution,mkt_stock_count,mkt_up_ratio,mkt_avg_ret,mkt_median_ret,mkt_strong_count,mkt_strong_ratio,mkt_touch_strong_count,mkt_touch_strong_ratio,mkt_amount_sum,mkt_emotion_score,t1_up_rate,T+1上涨率,close_T2_actual,r_actual,r_p50,eret_pred_raw,eret_plus_value,eret_plus_delta,eret_plus_direction,eret_plus_conf,in_p10,in_p50,err_r_p50,err_close_p50,actual_ret,raw_abs_err,plus_abs_err,improve_flag,hit_up,open_T_actual,high_T_actual,close_T_actual,t_limit_price_est,t_up_actual,t_limitup_actual,t_touch_limitup_actual,t_limitup_verify_ready,t_limitup_verify_reason,t_limitup_verify_trade_date,d_analysis_trade_date,t_open_ret,t_intraday_ret,t_close_ret,t_high_profit_hit,low_T_actual,open_T2_actual,high_T2_actual,low_T2_actual,entry_price_proxy,entry_price_proxy_type,t_fill_proxy,t1_open_ret,t1_low_ret,t1_close_ret,t1_high_ret,t1_up_hit,t1_high_profit_hit,t1_accept_hit,t1_fail_hit,t1_big_drawdown_hit,t1_limitdown_risk_hit,t1_verify_ready,label_matured,t1_verify_reason
1,20260612,20260612,20260615,20260616,603335.SH,迪生力,汽车配件,8.05,TOP10,1,1,TOP10,市价竞价,≤8.35,市价竞价,≤8.35,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,市价竞价,≤8.35,市价竞价,≤8.35,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,冲高至8.84附近优先兑现；强势放量再看9.14；弱于7.93止损,0.783043,0.783043,80.2963,80.2963,0.702474,0.702474,77.1346,77.1346,0.979091,64.3727,0.849299,83.0393,0.6990222217448362,0.9091210242583888,0.6395495080130869,0.761434177763413,0.0117774256871341,0.0657867836488182,0.7460405373430735,limitup_probability_engine:model_v1,0.783043,0.783043,historical_bin_blend_v1,80.7729,58.1154,87.743,67.5,79.4648,79.4648,1,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.96876148266508,0.96876148266508,8.81,,0.0931447520458775,0.0,0.0976206065977319,0.0976206065977319,up,high,,,,,,,,,,8.86,8.86,8.86,8.86,1,1,1,1,ok,20260615,20260612,0.10062111801242213,0.10062111801242213,0.10062111801242213,1,8.86,9.75,9.75,8.4,8.86,t_open_daily_proxy,0,0.1004514672686232,-0.05191873589164775,-0.005643340857787726,0.1004514672686232,0,1,1,0,1,0,1,1,ok
2,20260612,20260612,20260615,20260616,601996.SH,丰林集团,家居用品,2.71,TOP10,1,1,TOP10,市价竞价,≤2.83,市价竞价,≤2.83,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,市价竞价,≤2.83,市价竞价,≤2.83,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,冲高至3.04附近优先兑现；强势放量再看3.14；弱于2.67止损,0.754597,0.754597,74.3505,74.3505,0.765433,0.765433,76.6731,76.6731,0.772884,58.1865,0.880977,74.0364,0.7467601890575538,0.8512649844495183,0.715913625060748,0.8324647924118129,0.0171225451887446,0.0716599591464722,0.7780304374094823,limitup_probability_engine:model_v1,0.754597,0.754597,historical_bin_blend_v1,77.0888,70.6435,83.306,67.5,77.114,77.114,2,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.98829186007614,0.98829186007614,2.63,,0.1133286853070031,0.0,0.12,0.12,up,high,,,,,,,,,,2.73,2.81,2.69,2.98,0,0,0,1,ok,20260615,20260612,0.007380073800737907,0.03690036900368998,-0.0073800738007380184,1,2.66,2.72,2.72,2.54,2.73,t_open_daily_proxy,1,-0.003663003663003539,-0.06959706959706957,-0.03663003663003661,-0.003663003663003539,0,0,0,1,1,0,1,1,ok
3,20260612,20260612,20260615,20260616,603065.SH,宿迁联盛,化工原料,13.6,TOP10,1,1,TOP10,市价竞价,≤14.06,市价竞价,≤14.06,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,市价竞价,≤14.06,市价竞价,≤14.06,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,冲高至14.81附近优先兑现；强势放量再看15.32；弱于13.40止损,0.678477,0.678477,81.2832,81.2832,0.661769,0.661769,77.3299,77.3299,0.963432,63.903,0.81609,81.4653,0.8584792684396086,0.9286993836737228,0.5956314865622935,0.896341757216219,0.0184764949996443,0.0764783754498465,0.8160017250953,limitup_probability_engine:model_v1,0.889965,0.678477,historical_bin_blend_v1,73.6953,64.9236,88.7699,67.5,76.1571,76.1571,3,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.9556918602652008,0.9556918602652008,14.45,,0.0851371218401421,0.0,0.0888663638216927,0.0888663638216927,up,high,,,,,,,,,,13.18,13.99,13.4,14.96,0,0,0,1,ok,20260615,20260612,-0.030882352941176472,0.028676470588235414,-0.014705882352941124,1,12.35,12.8,14.74,12.74,13.18,t_open_daily_proxy,1,-0.028831562974203306,-0.03338391502276172,0.09635811836115327,0.11836115326251906,1,1,1,0,0,0,1,1,ok
4,20260612,20260612,20260615,20260616,600567.SH,山鹰国际,造纸,1.44,TOP10,1,1,TOP10,市价竞价,≤1.50,市价竞价,≤1.50,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,市价竞价,≤1.50,市价竞价,≤1.50,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,冲高至1.61附近优先兑现；强势放量再看1.67；弱于1.42止损,0.735068,0.735068,73.5693,73.5693,0.765433,0.765433,75.7454,75.7454,0.707785,56.2335,0.880977,70.9442,0.7467601890575538,0.8512649844495183,0.715913625060748,0.8324647924118129,0.0171225451887446,0.0716599591464722,0.7780304374094823,limitup_probability_engine:model_v1,0.735068,0.735068,historical_bin_blend_v1,75.6046,70.6435,82.4024,67.5,76.044,76.044,4,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.98829186007614,0.98829186007614,1.39,,0.1133286853070031,0.0,0.12,0.12,up,high,,,,,,,,,,1.42,1.45,1.41,1.58,0,0,0,1,ok,20260615,20260612,-0.01388888888888895,0.00694444444444442,-0.02083333333333337,0,1.39,1.41,1.42,1.38,1.42,t_open_daily_proxy,1,-0.007042253521126751,-0.028169014084507116,-0.021126760563380254,0.0,0,0,0,1,0,0,1,1,ok
5,20260612,20260612,20260615,20260616,002088.SZ,鲁阳节能,矿物制品,8.95,TOP10,1,1,TOP10,市价竞价,≤9.26,市价竞价,≤9.26,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,市价竞价,≤9.26,市价竞价,≤9.26,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,冲高至9.67附近优先兑现；强势放量再看10.00；弱于8.82止损,0.66068,0.66068,77.471,77.471,0.713404,0.713404,76.8952,76.8952,0.890934,61.728,0.779026,77.095,0.8504347937638538,0.8796633699060997,0.6852802908068996,0.9126347018900398,0.0264774102927373,0.0860175665019103,0.8257832982791046,limitup_probability_engine:model_v1,0.862585,0.66068,historical_bin_blend_v1,71.15,75.11,85.613,67.5,74.6143,74.6143,5,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.938970728481956,0.938970728481956,8.91,,0.0773095299976722,0.0,0.0803764335581088,0.0803764335581088,up,high,,,,,,,,,,9.01,9.39,9.19,9.85,1,0,0,1,ok,20260615,20260612,0.006703910614525244,0.04916201117318453,0.02681564245810053,1,9.0,9.14,9.24,8.9,9.01,t_open_daily_proxy,1,0.014428412874583962,-0.01220865704772467,-0.011098779134295134,0.025527192008879096,0,1,1,0,0,0,1,1,ok
6,20260612,20260612,20260615,20260616,600497.SH,驰宏锌锗,铅锌,9.28,TOP10,1,1,TOP10,市价竞价,≤9.62,市价竞价,≤9.62,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,市价竞价,≤9.62,市价竞价,≤9.62,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,冲高至10.03附近优先兑现；强势放量再看10.37；弱于9.14止损,0.676625,0.676625,72.8635,72.8635,0.78226,0.78226,73.911,73.911,0.334646,45.0394,0.779026,50.6713,0.8231879764463831,0.9141284148927822,0.7836459063878025,0.8409909882381473,0.0203685119882984,0.0801953655118274,0.8387080203121022,limitup_probability_engine:model_v1,0.676625,0.676625,historical_bin_blend_v1,72.4577,78.1084,81.5442,67.5,74.5471,74.5471,6,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.938970728481956,0.938970728481956,10.07,,0.0773095299976722,0.0,0.0803764335581088,0.0803764335581088,up,high,,,,,,,,,,9.74,10.16,10.12,10.21,1,0,0,1,ok,20260615,20260612,0.04956896551724155,0.09482758620689657,0.09051724137931028,1,9.57,9.95,10.31,9.88,9.74,t_open_daily_proxy,0,0.021560574948665145,0.014373716632443578,0.03388090349075967,0.05852156057494873,1,1,1,0,0,0,1,1,ok
7,20260612,20260612,20260615,20260616,001696.SZ,宗申动力,摩托车,22.84,TOP10,1,1,TOP10,限价竞价,≤23.52,限价竞价,≤23.52,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,限价竞价,≤23.52,限价竞价,≤23.52,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,冲高至24.50附近优先兑现；强势放量再看25.34；弱于22.50止损,0.728048,0.728048,74.6502,74.6502,0.617458,0.617458,72.7105,72.7105,0.75563,57.6689,0.747492,69.8797,0.71622728805818,0.8597103194414829,0.5617288046886479,0.8879886116529044,0.004578386034084,0.0748878018803976,0.7392376236008312,limitup_probability_engine:model_v1,0.728048,0.728048,historical_bin_blend_v1,75.3593,48.0446,82.1814,67.5,74.3114,74.3114,7,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.919717009878865,0.919717009878865,23.7,,0.070158528679011,0.0,0.0726782180369164,0.0726782180369164,up,high,,,,,,,,,,22.05,23.05,22.85,25.12,1,0,0,1,ok,20260615,20260612,-0.034588441330998254,0.009194395796847665,0.0004378283712784814,0,21.06,22.6,23.9,21.74,22.05,t_open_daily_proxy,1,0.024943310657596474,-0.01405895691609993,0.07482993197278898,0.08390022675736941,1,1,1,0,0,0,1,1,ok
8,20260612,20260612,20260615,20260616,601696.SH,中银证券,证券,11.54,TOP10,1,1,TOP10,市价竞价,≤11.99,市价竞价,≤11.99,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,市价竞价,≤11.99,市价竞价,≤11.99,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,冲高至12.80附近优先兑现；强势放量再看13.24；弱于11.37止损,0.676905,0.676905,74.9645,74.9645,0.696795,0.696795,72.5042,72.5042,0.790675,58.7202,0.868308,74.5647,0.6281462947993239,0.857940178660401,0.6232900801646892,0.8403517913025732,0.014461984380803,0.0759034823041328,0.7162115365814218,limitup_probability_engine:model_v1,0.676905,0.676905,historical_bin_blend_v1,71.6765,64.4105,81.9352,67.5,73.2681,73.2681,8,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.9808589461173116,0.9808589461173116,13.3,,0.1035910659404991,0.0,0.1091467942620982,0.1091467942620982,up,high,,,,,,,,,,11.9,12.69,12.69,12.69,1,1,1,1,ok,20260615,20260612,0.031195840554592902,0.09965337954939346,0.09965337954939346,1,11.89,12.58,13.57,12.56,11.9,t_open_daily_proxy,1,0.05714285714285716,0.055462184873949605,0.11764705882352944,0.14033613445378146,1,1,1,0,0,0,1,1,ok
9,20260612,20260612,20260615,20260616,600229.SH,城市传媒,出版业,6.19,TOP10,1,1,TOP10,市价竞价,≤6.41,市价竞价,≤6.41,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,市价竞价,≤6.41,市价竞价,≤6.41,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,冲高至6.73附近优先兑现；强势放量再看6.96；弱于6.10止损,0.674394,0.674394,71.6218,71.6218,0.708685,0.708685,71.3282,71.3282,0.423209,47.6963,0.80199,55.4522,0.7820444233797366,0.8757211621361655,0.668697505553424,0.8100122511714798,0.0316483431398079,0.0859047096817634,0.7813220527810271,limitup_probability_engine:model_v1,0.674394,0.674394,historical_bin_blend_v1,71.4815,74.4781,79.4948,67.5,73.2333,73.2333,9,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.9530329370140552,0.9530329370140552,5.55,,0.0837500269337069,0.0,0.0873570498575003,0.0873570498575003,up,high,,,,,,,,,,5.83,5.93,5.81,6.81,0,0,0,1,ok,20260615,20260612,-0.05815831987075937,-0.042003231017770704,-0.06138933764135712,0,5.74,5.78,5.79,5.49,5.83,t_open_daily_proxy,1,-0.00857632933104624,-0.05831903945111494,-0.04802744425385941,-0.006861063464837058,0,0,0,1,1,0,1,1,ok
10,20260612,20260612,20260615,20260616,601958.SH,金钼股份,小金属,25.52,TOP10,1,1,TOP10,只观察不追,≤25.78,只观察不追,≤25.78,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,只观察不追,≤25.78,只观察不追,≤25.78,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,冲高至27.04附近优先兑现；强势放量再看27.97；弱于25.14止损,0.724463,0.724463,72.519,72.519,0.541783,0.541783,69.6842,69.6842,0.792612,58.7784,0.666096,69.6015,0.6952567661241635,0.81679402395853,0.4885052887304001,0.8502134415417196,0.001079157460138,0.0533284800552592,0.6971967125469476,limitup_probability_engine:model_v1,0.724463,0.724463,historical_bin_blend_v1,74.1155,38.5133,79.5984,67.5,72.3105,72.3105,10,0.5690171449320871,0.0680499244844073,0.2495163897761601,0.1134165408073455,5508.0,0.7076978939724038,0.0105741257487343,0.0127591706539074,131.0,0.0237835875090777,329.0,0.0597312999273783,3235341964.0785704,0.5652099103001914,0.8760618500433464,0.8760618500433464,28.88,,0.0577761523978379,0.0,0.0594778075975081,0.0594778075975081,up,high,,,,,,,,,,27.25,28.07,28.07,28.07,1,1,1,1,ok,20260615,20260612,0.06778996865203757,0.09992163009404398,0.09992163009404398,1,27.03,28.1,29.76,27.1,27.25,t_open_daily_proxy,0,0.031192660550458662,-0.0055045871559632475,0.059816513761467904,0.09211009174311924,1,1,1,0,0,0,1,1,ok
