prediction_id,signal_date,expected_buy_date,expected_exit_date,ts_code,name,industry,stage,stage_transition,stage_focus,source_rank,d_close,estimated_up_limit,recommended_max_price,max_auction_change_pct,take_profit_pct,stop_loss_pct,take_profit_price,stop_loss_price,latest_exit_time,exit_policy_version,predicted_net_return,predicted_return_lcb,predicted_return_ucb,predicted_outcome_q10,predicted_outcome_q90,predicted_fill_probability,predicted_exit_probability,predicted_profit_probability,predicted_big_loss_probability,predicted_continuation_limit_up_probability,max_big_loss_probability,big_loss_threshold,min_return_lcb,conservative_ev,selection_score,risk_gate_pass,selected,action,price_action,entry_rule,exit_rule,guidance_only,broker_connected,order_type,market_order_allowed,mechanism_limit_pct,decision_universe_rule,decision_universe_reason,minute_available,model_ready,model_promoted,model_reason,model_version,generated_at_utc,source_snapshot_sha256,feature_contract,observation_max_price,observation_auction_change_pct,observation_price_basis,observation_price_is_formal,observation_rank,stage_watch_rank,observation_pool_size,observation_selected,observation_risk_tier,observation_risk_label,watch_label,validation_mode,observation_execution_mode,prediction_timing_status,prediction_timing_valid,prediction_deadline_utc,validation_status,actual_buy_date,actual_open_price,actual_t_close,market_daily_return,observation_fill,observation_fill_reason,observation_limit_accept,observation_price_vs_cap,market_buyable_diagnostic,market_buyable_reason,observation_t_return,continuation_limit_up_hit,actual_exit_date,actual_exit_price,actual_gross_return,actual_net_return,exit_reason,truth_source,truth_generated_at_utc,path_label_code,path_label,path_explanation,path_days_observed,path_data_coverage,path_strength_latest,path_strength_delta,path_gap_slope,path_first_seal_slope,path_open_times_slope,path_turnover_slope,path_amount_log_slope,path_seal_ratio_slope,path_one_price_ratio,path_weak_to_strong,path_strong_to_weak,path_acceleration_consensus,path_divergence_reseal,stage_pool_size,focus_pool_size,market_max_limit_times,same_industry_stage_count,stage_pool_share,stage_recent_promotion_rate,stage_recent_promotion_samples,market_median_return,market_up_ratio,market_return_dispersion,market_equal_weight_return,market_down_ratio,market_strong_up_ratio,market_strong_down_ratio,market_limit_up_count_log,market_limit_down_count_log,market_limit_up_down_log_ratio,market_failed_limit_up_rate,market_reseal_rate,market_prev_limit_up_mean_return,market_prev_limit_up_positive_rate,market_prev_limit_up_open_gap_mean,market_focus_promotion_rate,market_limit_up_industry_concentration,market_limit_up_amount_top3_share,market_amount_ratio_5d,market_sentiment_score,market_sentiment_delta,market_sentiment_coverage,market_sentiment_acceleration,market_sentiment_regime_code,market_sentiment_regime_label,market_sentiment_breadth_score,market_sentiment_limit_ecology_score,market_sentiment_promotion_score,market_sentiment_profit_effect_score,market_sentiment_liquidity_score,market_eligible_stock_count,market_limit_up_count,market_limit_down_count,market_touched_up_count,market_failed_limit_up_count,market_reseal_count,market_prev_limit_up_sample,market_2_to_3_promotion_rate,market_2_to_3_promotion_samples,market_3_to_4_promotion_rate,market_3_to_4_promotion_samples,market_focus_promotion_samples,market_max_streak,predicted_mean_return_lcb,predicted_mean_return_ucb,model_artifact_sha256,shadow_rank,shadow_selected,gate_policy_ready,gate_stage_focus,gate_exit_probability,gate_fill_probability,gate_big_loss_probability,gate_mean_return_lcb,gate_conservative_ev,gate_selection_score,selection_policy_version,policy_max_big_loss_probability,policy_min_mean_return_lcb,policy_min_fill_probability,policy_min_exit_probability,policy_min_conservative_ev,policy_min_selection_score,policy_max_positions
20260720-000722.SZ-auction_v5_manual_guidance_4,20260720,20260721,20260722,000722.SZ,湖南发展,电力,2→3,2→3,1.0,52.0,15.21,16.73,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0623634420523531,-0.0704095621255802,-0.0543173219791259,-0.1320217656108688,0.0017925641932885,0.0782816542091085,0.9986515122327104,0.5105269262925661,0.3102275849985531,0.0719058373708383,0.15,-0.03,0.0,-0.0056157453547367,-0.0052562161678826,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,15.21,0.0,legacy_d_close_cap,False,1,1,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,14.63,14.33,-0.057857000000000006,1,filled_market_at_open_proxy,1,-0.038132807363576604,1,market_proxy_buyable,-0.02050580997949425,0,20260722,13.84,-0.05399863294600138,-0.058498632946001376,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-600644.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600644.SH,乐山电力,电力,2→3,2→3,1.0,10.0,9.91,10.9,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0555235800608427,-0.0635697001340699,-0.0474774599876156,-0.1251819036193585,0.0086324261847988,0.0309589195444678,0.9986515122327104,0.659879050132871,0.322174267323896,0.2601854237566484,0.15,-0.03,0.0,-0.0020202624507805,-0.0007193353319972,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,9.91,0.0,legacy_d_close_cap,False,2,2,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,9.85,9.64,-0.027245,1,filled_market_at_open_proxy,1,-0.006054490413723523,1,market_proxy_buyable,-0.02131979695431463,0,20260722,9.3,-0.055837563451776595,-0.06033756345177659,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-000037.SZ-auction_v5_manual_guidance_4,20260720,20260721,20260722,000037.SZ,深南电A,电力,2→3,2→3,1.0,11.0,10.12,11.13,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0600258146859924,-0.0680719347592195,-0.0519796946127652,-0.1296841382445081,0.0041301915596492,0.0701247699092237,0.9986515122327104,0.579975167216068,0.3825919097909198,0.0959412318838037,0.15,-0.03,0.0,-0.0050188996524858,-0.0045391934930667,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,10.12,0.0,legacy_d_close_cap,False,3,3,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,9.8,9.62,-0.049407,1,filled_market_at_open_proxy,1,-0.03162055335968361,1,market_proxy_buyable,-0.01836734693877562,0,20260722,9.36,-0.044897959183673564,-0.04939795918367356,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-600236.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600236.SH,桂冠电力,电力,2→3,2→3,1.0,42.0,11.68,12.85,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0539075324069635,-0.0619536524801907,-0.0458614123337364,-0.1235658559654792,0.010248473838678,0.025816519684296,0.9986515122327104,0.3218013656450864,0.4433921062645707,0.1316686131551865,0.15,-0.03,0.0,-0.0017368507657428,-0.0010785076999669,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,11.68,0.0,legacy_d_close_cap,False,4,4,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,11.68,11.25,-0.036815,1,filled_market_at_open_proxy,1,0.0,1,market_proxy_buyable,-0.03681506849315064,0,20260722,10.81,-0.074486301369863,-0.07898630136986301,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-600227.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600227.SH,赤天化,农化制品,2→3,2→3,1.0,21.0,3.37,3.71,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0321737842032986,-0.0402199042765258,-0.0241276641300715,-0.1018321077618143,0.0319822220423429,0.1590211339148063,0.9986515122327104,0.5338478994288149,0.4715530643786461,0.134053527542597,0.15,-0.03,0.0,-0.0073766406389848,-0.0067063730012719,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,3.37,0.0,legacy_d_close_cap,False,5,5,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,3.13,3.03,-0.10089000000000001,1,filled_market_at_open_proxy,1,-0.07121661721068251,1,market_proxy_buyable,-0.03194888178913746,0,20260722,2.8,-0.1054313099041535,-0.1099313099041535,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-001258.SZ-auction_v5_manual_guidance_4,20260720,20260721,20260722,001258.SZ,立新能源,电力,3→4,3→4,1.0,3.0,9.1,10.01,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0648345928378351,-0.0728807129110623,-0.0567884727646079,-0.1344929163963508,-0.0006785865921935,0.0161199748780651,0.9986515122327104,0.3813393948453736,0.5996028218848181,0.2844514370621544,0.15,-0.03,0.0,-0.00133618635999,8.607082532067264e-05,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,9.1,0.0,legacy_d_close_cap,False,6,6,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,10.01,10.01,0.1,1,filled_market_at_open_proxy,0,0.10000000000000009,0,opening_auction_limit_up_unconfirmed,0.0,1,20260722,10.9,0.0889110889110889,0.0844110889110889,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-600722.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600722.SH,金牛化工,化学原料,2→3,2→3,1.0,34.0,9.38,10.31,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0622555758009908,-0.0703016958742179,-0.0542094557277636,-0.1319138993595065,0.0019004304446508,0.0273685830501314,0.9986515122327104,0.2130645816628654,0.6323726310862745,0.1865837678979183,0.15,-0.03,0.0,-0.0022249064927911,-0.0012919876533015,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,9.38,0.0,legacy_d_close_cap,False,7,7,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,9.56,9.01,-0.039446,1,filled_market_at_open_proxy,0,0.019189765458422103,1,market_proxy_buyable,-0.05753138075313813,0,20260722,8.77,-0.08263598326359833,-0.08713598326359834,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260720-600744.SH-auction_v5_manual_guidance_4,20260720,20260721,20260722,600744.SH,华银电力,电力,2→3,2→3,1.0,1.0,6.56,7.22,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0648296435821979,-0.072875763655425,-0.0567835235089707,-0.1344879671407136,-0.0006736373365562,0.0276399794206732,0.9986515122327104,0.3895564609623237,0.6941426693635417,0.2826151794894491,0.15,-0.03,0.0,-0.0023693362960549,-0.0009562603986077,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,0.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T11:13:00+00:00,db8795cc63f6a022b393b9e121dfdbc360ee280aad1256388a6b614f3f4ea6e9,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,6.56,0.0,legacy_d_close_cap,False,8,8,8,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,RETROSPECTIVE_LATE_GENERATION,0,2026-07-21T01:25:00+00:00,FINAL_VERIFIED,20260721,7.0,7.22,0.10061,1,filled_market_at_open_proxy,0,0.06707317073170738,1,market_proxy_buyable,0.03142857142857136,1,20260722,6.88,-0.017142857142857237,-0.021642857142857238,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721-002036.SZ-auction_v5_manual_guidance_4,20260721,20260722,20260723,002036.SZ,联创电子,光学光电,2→3,2→3,1.0,80.0,7.21,7.94,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.053298046033978,-0.0614373804666618,-0.0451587116012941,-0.12494524203478,0.0096342292194399,0.0239298381358504,0.9986566877758588,0.2644462989112298,0.5054668129571629,0.2143877184416477,0.15,-0.03,0.0,-0.0016398930472679,-0.0005679544550597,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,1.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T13:59:20+00:00,979436f869d0ab57853645bacfdd4eef41211759f4818375f6ae39ee672b0e3d,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,7.21,0.0,legacy_d_close_cap,False,1,1,4,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,PREMARKET_VALID,1,2026-07-22T01:25:00+00:00,PENDING_EXIT_TRUTH,20260722,7.48,7.23,0.002774,1,filled_market_at_open_proxy,0,0.03744798890429957,1,market_proxy_buyable,-0.03342245989304815,0,,,,,,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260721-000889.SZ-auction_v5_manual_guidance_4,20260721,20260722,20260723,000889.SZ,中嘉博创,通信服务,2→3,2→3,1.0,31.0,3.8,4.19,,,0.03,-0.025,,,14:50,tplus1_first_touch_tp3_sl2p5_time1450_v1,-0.0571495396144586,-0.0652888740471424,-0.0490102051817747,-0.1287967356152606,0.0057827356389593,0.0274174153586757,0.9986566877758588,0.197390436303198,0.5594092704170502,0.1968483284385554,0.15,-0.03,0.0,-0.0020288608623025,-0.0010446192201097,0.0,0,REJECT,没有安全买入价格，放弃,系统仅供人工参考：T日9:25前仅用限价单参与集合竞价；不得使用无上限市价单，高于上限或未成交均放弃,T+1按实际成交价计算止盈/止损，首次触发即人工退出；均未触发则14:50退出；一字跌停顺延,1,0,LIMIT_ONLY_MANUAL,0,10.0,a_share_price_limit_le_10_v2,eligible_limit_le_10:10.00%:main_board_10pct,1.0,1,0,big_loss_probability_exceeds_cap,auction_v5_manual_guidance_4,2026-07-21T13:59:20+00:00,979436f869d0ab57853645bacfdd4eef41211759f4818375f6ae39ee672b0e3d,D_CLOSE_PLUS_D_MINUTE_NO_T_LEAKAGE_V4_DERIVED_LIMIT_STREAK,3.8,0.0,legacy_d_close_cap,False,2,2,4,1,2,高风险观察,仅观察,market_at_open_proxy,market_at_open_proxy,PREMARKET_VALID,1,2026-07-22T01:25:00+00:00,FINAL_VERIFIED,20260722,4.16,3.99,0.05,1,filled_market_at_open_proxy,0,0.09473684210526323,1,market_proxy_buyable,-0.04086538461538458,0,20260723,3.88,-0.06730769230769229,-0.0718076923076923,fixed_open_0930,market_repo_auction,2026-07-28T10:46:59+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
