ts_code,time,open,close,high,low,vol,amount
600876.SH,2026-09-15 09:30:00,9.25,9.25,9.25,9.25,2425950.0,22440038
600876.SH,2026-09-15 09:31:00,9.38,9.6,9.66,9.36,6700262.0,63342210
600876.SH,2026-09-15 09:32:00,9.71,9.15,9.77,9.1,2754401.0,26038180
600876.SH,2026-09-15 09:33:00,9.16,9.12,9.29,8.91,2276200.0,20698261
600876.SH,2026-09-15 09:34:00,9.14,8.9,9.14,8.89,1000600.0,8994913
600876.SH,2026-09-15 09:35:00,8.89,8.99,9.0,8.87,949879.0,8454588
600876.SH,2026-09-15 09:36:00,8.96,9.03,9.03,8.92,443500.0,3973798
600876.SH,2026-09-15 09:37:00,9.04,9.14,9.14,9.02,531900.0,4806707
600876.SH,2026-09-15 09:38:00,9.14,9.12,9.19,9.1,589600.0,5394455
600876.SH,2026-09-15 09:39:00,9.12,9.19,9.24,9.12,477800.0,4389305
600876.SH,2026-09-15 09:40:00,9.16,8.98,9.16,8.98,326700.0,2955704
600876.SH,2026-09-15 09:41:00,8.98,8.86,9.0,8.86,694900.0,6204465
600876.SH,2026-09-15 09:42:00,8.86,8.95,8.95,8.8,456300.0,4054233
600876.SH,2026-09-15 09:43:00,8.95,8.95,9.01,8.93,274400.0,2461737
600876.SH,2026-09-15 09:44:00,8.92,8.88,8.92,8.87,438600.0,3900808
600876.SH,2026-09-15 09:45:00,8.87,8.87,8.88,8.86,228600.0,2027777
600876.SH,2026-09-15 09:46:00,8.87,8.88,8.88,8.85,318000.0,2820485
600876.SH,2026-09-15 09:47:00,8.89,8.85,8.89,8.85,422900.0,3751089
600876.SH,2026-09-15 09:48:00,8.86,8.87,8.88,8.85,158300.0,1403230
600876.SH,2026-09-15 09:49:00,8.88,9.0,9.0,8.87,125700.0,1121295
600876.SH,2026-09-15 09:50:00,9.01,8.93,9.01,8.91,368400.0,3303264
600876.SH,2026-09-15 09:51:00,8.93,9.03,9.03,8.93,231400.0,2081732
600876.SH,2026-09-15 09:52:00,9.01,9.05,9.09,9.01,366509.0,3320294
600876.SH,2026-09-15 09:53:00,9.03,9.18,9.18,8.98,549900.0,4970405
600876.SH,2026-09-15 09:54:00,9.18,9.16,9.22,9.07,358600.0,3294924
600876.SH,2026-09-15 09:55:00,9.14,9.2,9.2,9.14,245100.0,2250017
600876.SH,2026-09-15 09:56:00,9.19,9.25,9.25,9.19,310400.0,2861362
600876.SH,2026-09-15 09:57:00,9.25,9.05,9.26,9.03,400200.0,3677828
600876.SH,2026-09-15 09:58:00,9.05,9.12,9.16,9.05,140100.0,1280097
600876.SH,2026-09-15 09:59:00,9.11,9.09,9.11,9.07,145200.0,1319084
600876.SH,2026-09-15 10:00:00,9.09,8.98,9.09,8.98,233000.0,2104804
600876.SH,2026-09-15 10:01:00,8.98,9.01,9.01,8.98,186800.0,1680712
600876.SH,2026-09-15 10:02:00,9.0,9.0,9.01,8.99,113800.0,1023711
600876.SH,2026-09-15 10:03:00,9.0,8.98,9.01,8.98,156100.0,1403805
600876.SH,2026-09-15 10:04:00,8.98,8.94,8.98,8.93,154000.0,1379336
600876.SH,2026-09-15 10:05:00,8.94,8.98,8.98,8.94,119400.0,1068542
600876.SH,2026-09-15 10:06:00,8.97,8.93,8.98,8.93,338400.0,3027218
600876.SH,2026-09-15 10:07:00,8.93,8.95,8.95,8.92,88200.0,788003
600876.SH,2026-09-15 10:08:00,8.95,8.95,8.95,8.94,69800.0,624565
600876.SH,2026-09-15 10:09:00,8.94,8.95,8.95,8.94,153500.0,1372504
600876.SH,2026-09-15 10:10:00,8.95,8.92,8.96,8.92,116800.0,1043858
600876.SH,2026-09-15 10:11:00,8.92,8.88,8.92,8.88,283600.0,2524253
600876.SH,2026-09-15 10:12:00,8.89,8.92,8.92,8.88,76100.0,676912
600876.SH,2026-09-15 10:13:00,8.91,8.91,8.91,8.89,132899.0,1182751
600876.SH,2026-09-15 10:14:00,8.92,8.9,8.92,8.9,143300.0,1276003
600876.SH,2026-09-15 10:15:00,8.91,8.92,8.92,8.9,77900.0,694103
600876.SH,2026-09-15 10:16:00,8.92,8.92,8.92,8.9,124200.0,1106833
600876.SH,2026-09-15 10:17:00,8.91,8.89,8.92,8.88,237501.0,2114325
600876.SH,2026-09-15 10:18:00,8.88,8.92,8.92,8.88,98600.0,876529
600876.SH,2026-09-15 10:19:00,8.92,9.01,9.05,8.92,92500.0,828624
600876.SH,2026-09-15 10:20:00,9.01,8.97,9.01,8.95,159300.0,1429034
600876.SH,2026-09-15 10:21:00,8.97,8.97,8.97,8.95,78700.0,704873
600876.SH,2026-09-15 10:22:00,8.96,8.99,8.99,8.96,79100.0,710652
600876.SH,2026-09-15 10:23:00,8.99,8.94,8.99,8.94,178300.0,1599574
